Sample ID,Sample Name,Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,Notes
AH038,68,A1,PCR,,,,zH2AH4f,Samples do NOT have water or primer added; only cleaned PCR product in plate; total volume = approx. 120 uL in each well
AH039,124,B1,PCR,,,,zH2AH4f,
AH040,138,C1,PCR,,,,zH2AH4f,
AH041,81,D1,PCR,,,,zH2AH4f,
AH042,225,E1,PCR,,,,zH2AH4f,
AH043,232,F1,PCR,,,,zH2AH4f,
AH044,251,G1,PCR,,,,zH2AH4f,
EMPTY,NA,H1,PCR,,,,zH2AH4f,
AH045,69,A2,PCR,,,,zH2AH4f,
AH046,127,B2,PCR,,,,zH2AH4f,
AH047,140,C2,PCR,,,,zH2AH4f,
AH048,83,D2,PCR,,,,zH2AH4f,
AH049,226,E2,PCR,,,,zH2AH4f,
AH050,233,F2,PCR,,,,zH2AH4f,
AH051,192,G2,PCR,,,,zH2AH4f,
EMPTY,NA,H2,PCR,,,,zH2AH4f,
AH052,71,A3,PCR,,,,zH2AH4f,
AH053,128,B3,PCR,,,,zH2AH4f,
AH054,141,C3,PCR,,,,zH2AH4f,
AH055,86,D3,PCR,,,,zH2AH4f,
AH056,244,E3,PCR,,,,zH2AH4f,
AH057,234,F3,PCR,,,,zH2AH4f,
AH058,215,G3,PCR,,,,zH2AH4f,
EMPTY,NA,H3,PCR,,,,zH2AH4f,
AH059,75,A4,PCR,,,,zH2AH4f,
AH060,129,B4,PCR,,,,zH2AH4f,
AH061,65,C4,PCR,,,,zH2AH4f,
AH062,87,D4,PCR,,,,zH2AH4f,
AH063,245,E4,PCR,,,,zH2AH4f,
AH064,235,F4,PCR,,,,zH2AH4f,
AH065,217,G4,PCR,,,,zH2AH4f,
EMPTY,NA,H4,PCR,,,,zH2AH4f,
AH066,80,A5,PCR,,,,zH2AH4f,
AH067,130,B5,PCR,,,,zH2AH4f,
AH068,67,C5,PCR,,,,zH2AH4f,
AH069,90,D5,PCR,,,,zH2AH4f,
AH070,246,E5,PCR,,,,zH2AH4f,
AH071,238,F5,PCR,,,,zH2AH4f,
AH072,218,G5,PCR,,,,zH2AH4f,
EMPTY,NA,H5,PCR,,,,zH2AH4f,
AH073,82,A6,PCR,,,,zH2AH4f,
AH074,131,B6,PCR,,,,zH2AH4f,
AH075,70,C6,PCR,,,,zH2AH4f,
AH076,91,D6,PCR,,,,zH2AH4f,
AH077,247,E6,PCR,,,,zH2AH4f,
AH078,239,F6,PCR,,,,zH2AH4f,
AH079,220,G6,PCR,,,,zH2AH4f,
EMPTY,NA,H6,PCR,,,,zH2AH4f,
AH080,84,A7,PCR,,,,zH2AH4f,
AH081,132,B7,PCR,,,,zH2AH4f,
AH082,72,C7,PCR,,,,zH2AH4f,
AH083,92,D7,PCR,,,,zH2AH4f,
AH084,193,E7,PCR,,,,zH2AH4f,
AH085,240,F7,PCR,,,,zH2AH4f,
AH086,237,G7,PCR,,,,zH2AH4f,
EMPTY,NA,H7,PCR,,,,zH2AH4f,
AH087,85,A8,PCR,,,,zH2AH4f,
AH088,133,B8,PCR,,,,zH2AH4f,
AH089,73,C8,PCR,,,,zH2AH4f,
AH090,93,D8,PCR,,,,zH2AH4f,
AH091,216,E8,PCR,,,,zH2AH4f,
AH092,242,F8,PCR,,,,zH2AH4f,
AH093,241,G8,PCR,,,,zH2AH4f,
EMPTY,NA,H8,PCR,,,,zH2AH4f,
AH094,88,A9,PCR,,,,zH2AH4f,
AH095,134,B9,PCR,,,,zH2AH4f,
AH096,74,C9,PCR,,,,zH2AH4f,
AH097,221,D9,PCR,,,,zH2AH4f,
AH098,219,E9,PCR,,,,zH2AH4f,
AH099,243,F9,PCR,,,,zH2AH4f,
AH100,66,G9,PCR,,,,zH2AH4f,
EMPTY,NA,H9,PCR,,,,zH2AH4f,
AH101,94,A10,PCR,,,,zH2AH4f,
AH102,135,B10,PCR,,,,zH2AH4f,
AH103,76,C10,PCR,,,,zH2AH4f,
AH104,222,D10,PCR,,,,zH2AH4f,
AH105,227,E10,PCR,,,,zH2AH4f,
AH106,248,F10,PCR,,,,zH2AH4f,
AH107,Positive-JA491,G10,PCR,,,,zH2AH4f,
EMPTY,NA,H10,PCR,,,,zH2AH4f,
AH108,95,A11,PCR,,,,zH2AH4f,
AH109,136,B11,PCR,,,,zH2AH4f,
AH110,77,C11,PCR,,,,zH2AH4f,
AH111,223,D11,PCR,,,,zH2AH4f,
AH112,230,E11,PCR,,,,zH2AH4f,
AH113,249,F11,PCR,,,,zH2AH4f,
NA,negative-control,G11,PCR,,,,zH2AH4f,"PCR negative, do not sequence"
EMPTY,NA,H11,PCR,,,,zH2AH4f,
AH115,96,A12,PCR,,,,zH2AH4f,
AH116,137,B12,PCR,,,,zH2AH4f,
AH117,79,C12,PCR,,,,zH2AH4f,
AH118,224,D12,PCR,,,,zH2AH4f,
AH119,231,E12,PCR,,,,zH2AH4f,
AH120,250,F12,PCR,,,,zH2AH4f,
NA,negative-control,G12,PCR,,,,zH2AH4f,"PCR negative, do not sequence"
EMPTY,NA,H12,PCR,,,,zH2AH4f,
