Sample ID,Sample Name,Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,Notes
AH285,13,A1,PCR,,,,CO3r,Samples do NOT have water or primer added; only cleaned PCR product in plate; total volume = approx. 120 uL in each well
AH286,102,B1,PCR,,,,CO3r,
AH287,4,C1,PCR,,,,CO3r,
AH288,26,D1,PCR,,,,CO3r,
AH289,151,E1,PCR,,,,CO3r,
AH290,163,F1,PCR,,,,CO3r,
AH291,171,G1,PCR,,,,CO3r,
EMPTY,NA,H1,PCR,,,,CO3r,
AH292,14,A2,PCR,,,,CO3r,
AH293,103,B2,PCR,,,,CO3r,
AH294,6,C2,PCR,,,,CO3r,
AH295,27,D2,PCR,,,,CO3r,
AH296,152,E2,PCR,,,,CO3r,
AH297,164,F2,PCR,,,,CO3r,
AH298,172,G2,PCR,,,,CO3r,
EMPTY,NA,H2,PCR,,,,CO3r,
AH299,15,A3,PCR,,,,CO3r,
AH300,104,B3,PCR,,,,CO3r,
AH301,7,C3,PCR,,,,CO3r,
AH302,30,D3,PCR,,,,CO3r,
AH303,153,E3,PCR,,,,CO3r,
AH304,166,F3,PCR,,,,CO3r,
AH305,174,G3,PCR,,,,CO3r,
EMPTY,NA,H3,PCR,,,,CO3r,
AH306,16,A4,PCR,,,,CO3r,
AH307,105,B4,PCR,,,,CO3r,
AH308,8,C4,PCR,,,,CO3r,
AH309,31,D4,PCR,,,,CO3r,
AH310,154,E4,PCR,,,,CO3r,
AH311,168,F4,PCR,,,,CO3r,
AH312,175,G4,PCR,,,,CO3r,
EMPTY,NA,H4,PCR,,,,CO3r,
AH313,20,A5,PCR,,,,CO3r,
AH314,106,B5,PCR,,,,CO3r,
AH315,9,C5,PCR,,,,CO3r,
AH316,32,D5,PCR,,,,CO3r,
AH317,155,E5,PCR,,,,CO3r,
AH318,173,F5,PCR,,,,CO3r,
AH319,177,G5,PCR,,,,CO3r,
EMPTY,NA,H5,PCR,,,,CO3r,
AH320,28,A6,PCR,,,,CO3r,
AH321,107,B6,PCR,,,,CO3r,
AH322,12,C6,PCR,,,,CO3r,
AH323,142,D6,PCR,,,,CO3r,
AH324,156,E6,PCR,,,,CO3r,
AH325,176,F6,PCR,,,,CO3r,
AH326,229,G6,PCR,,,,CO3r,Note for AH - POC sample 
EMPTY,NA,H6,PCR,,,,CO3r,
AH327,29,A7,PCR,,,,CO3r,
AH328,108,B7,PCR,,,,CO3r,
AH329,17,C7,PCR,,,,CO3r,
AH330,143,D7,PCR,,,,CO3r,
AH331,157,E7,PCR,,,,CO3r,
AH332,178,F7,PCR,,,,CO3r,
AH333,1,G7,PCR,,,,CO3r,
EMPTY,NA,H7,PCR,,,,CO3r,
AH334,97,A8,PCR,,,,CO3r,
AH335,109,B8,PCR,,,,CO3r,
AH336,18,C8,PCR,,,,CO3r,
AH337,144,D8,PCR,,,,CO3r,
AH338,158,E8,PCR,,,,CO3r,
AH339,148,F8,PCR,,,,CO3r,
AH340,5,G8,PCR,,,,CO3r,
EMPTY,NA,H8,PCR,,,,CO3r,
AH341,98,A9,PCR,,,,CO3r,
AH342,110,B9,PCR,,,,CO3r,
AH343,19,C9,PCR,,,,CO3r,
AH344,145,D9,PCR,,,,CO3r,
AH345,159,E9,PCR,,,,CO3r,
AH346,150,F9,PCR,,,,CO3r,
AH347,10,G9,PCR,,,,CO3r,
EMPTY,NA,H9,PCR,,,,CO3r,
AH348,99,A10,PCR,,,,CO3r,
AH349,111,B10,PCR,,,,CO3r,
AH350,21,C10,PCR,,,,CO3r,
AH351,146,D10,PCR,,,,CO3r,
AH352,160,E10,PCR,,,,CO3r,
AH353,165,F10,PCR,,,,CO3r,
AH354,11,G10,PCR,,,,CO3r,
EMPTY,NA,H10,PCR,,,,CO3r,
AH355,100,A11,PCR,,,,CO3r,
AH356,2,B11,PCR,,,,CO3r,
AH357,24,C11,PCR,,,,CO3r,
AH358,147,D11,PCR,,,,CO3r,
AH359,161,E11,PCR,,,,CO3r,
AH360,167,F11,PCR,,,,CO3r,
NA,NA,G11,PCR,,,,CO3r,"PCR negative, do not sequence"
EMPTY,NA,H11,PCR,,,,CO3r,
AH361,101,A12,PCR,,,,CO3r,
AH362,3,B12,PCR,,,,CO3r,
AH363,25,C12,PCR,,,,CO3r,
AH364,149,D12,PCR,,,,CO3r,
AH365,162,E12,PCR,,,,CO3r,
AH366,170,F12,PCR,,,,CO3r,
AH367,Becker24,G12,PCR,,,,CO3r,
EMPTY,NA,H12,PCR,,,,CO3r,
