Sample Name,CRf_ID,CRf_cluster,CRf_notes,PaxC_ID,PaxC_length,PaxC_cluster,PaxC_notes,photograph,final-determination
1,AH250,hyacinthus/cytherea,,AH423,short - two bands,hyacinthus/cytherea,,,hyacinthus/cytherea
2,AH273,retusa,,AH439,long,other,,,retusa
3,AH279,lutkeni/pulchra,,AH445,long,other,,,lutkeni/pulchra
4,AH204,globiceps,,AH370,long,other,,globiceps?,globiceps
5,AH257,hyacinthus/cytherea,,AH430,short - two bands,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
6,AH211,hyacinthus/cytherea,,AH377,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
7,AH218,hyacinthus/cytherea,,AH384,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
8,AH225,retusa,,AH391,long,other,,retusa,retusa
9,AH232,globiceps,,AH398,long,other,,globiceps?,globiceps
10,AH264,globiceps,,AH437,long,other,,globiceps?,globiceps
11,AH271,hyacinthus/cytherea,,AH409,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
12,AH239,species unclear ,,AH405,short,species unclear,,unsure,unknown
13,AH202,unknown,,AH368,long,other,,,unknown
14,AH209,lutkeni/pulchra,,AH375,long,other,,,lutkeni/pulchra
15,AH216,unknown,,AH382,long,other,,,unknown
16,AH223,hyacinthus,,AH389,long,other,,,unknown
17,AH246,hyacinthus/cytherea,,AH412,short,hyacinthus/cytherea,,,hyacinthus/cytherea
18,AH253,unknown,,AH419,long,other,,,unknown
19,AH260,hyacinthus/cytherea,,AH426,short,hyacinthus/cytherea,,,hyacinthus/cytherea
20,AH230,lutkeni/pulchra,,AH396,long,other,,,lutkeni/pulchra
21,AH267,unknown,,AH433,long,other,,,unknown
24,AH274,unknown,,AH440,long,other,,,unknown
25,AH280,hyacinthus/cytherea,,AH446,short,hyacinthus/cytherea,,,hyacinthus/cytherea
26,AH205,hyacinthus/cytherea,,AH371,short,hyacinthus/cytherea,,,hyacinthus/cytherea
27,AH212,hyacinthus/cytherea,,AH378,short,hyacinthus/cytherea,,,hyacinthus/cytherea
28,AH237,retusa,,AH403,long,other,,,retusa
29,AH244,retusa,,AH410,long,other,,,retusa
30,AH219,retusa,,AH385,long,other,,,retusa
31,AH226,retusa,,AH392,long,other,,,retusa
32,AH233,hyacinthus/cytherea,,AH399,short,hyacinthus/cytherea,,,hyacinthus/cytherea
97,AH251,hyacinthus/cytherea,,AH417,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
98,AH258,hyacinthus/cytherea,,AH424,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
99,AH265,hyacinthus/cytherea,,AH431,short,hyacinthus/cytherea,,hyacinthus,hyacinthus/cytherea
100,AH272,retusa,,AH438,long,other,,retusa?,retusa
101,AH278,hyacinthus/cytherea,,AH444,short,hyacinthus/cytherea,,cytherea?,hyacinthus/cytherea
102,AH203,hyacinthus/cytherea,,AH369,short,hyacinthus/cytherea,,,hyacinthus/cytherea
103,AH210,hyacinthus/cytherea,,AH376,short,hyacinthus/cytherea,,,hyacinthus/cytherea
104,AH217,lutkeni/pulchra,,AH383,long,other,,,lutkeni/pulchra
105,AH224,hyacinthus/cytherea,,AH390,short,hyacinthus/cytherea,,,hyacinthus/cytherea
