#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Water Detect,Host Connected,Stopped,End of File
1,11/09/2023 11:45:00,23.410,,,,
2,11/09/2023 11:45:01,23.410,,,,
3,11/09/2023 11:45:02,23.421,,,,
4,11/09/2023 11:45:03,23.421,,,,
5,11/09/2023 11:45:04,23.421,,,,
6,11/09/2023 11:45:05,23.432,,,,
7,11/09/2023 11:45:06,23.421,,,,
8,11/09/2023 11:45:07,23.432,,,,
9,11/09/2023 11:45:08,23.442,,,,
10,11/09/2023 11:45:09,23.442,,,,
11,11/09/2023 11:45:10,23.442,,,,
12,11/09/2023 11:45:11,23.442,,,,
13,11/09/2023 11:45:12,23.442,,,,
14,11/09/2023 11:45:13,23.453,,,,
15,11/09/2023 11:45:14,23.453,,,,
16,11/09/2023 11:45:15,23.453,,,,
17,11/09/2023 11:45:16,23.453,,,,
18,11/09/2023 11:45:17,23.453,,,,
19,11/09/2023 11:45:18,23.453,,,,
20,11/09/2023 11:45:19,23.453,,,,
21,11/09/2023 11:45:20,23.453,,,,
22,11/09/2023 11:45:21,23.453,,,,
23,11/09/2023 11:45:22,23.464,,,,
24,11/09/2023 11:45:23,23.464,,,,
25,11/09/2023 11:45:24,23.464,,,,
26,11/09/2023 11:45:25,23.474,,,,
27,11/09/2023 11:45:26,23.464,,,,
28,11/09/2023 11:45:27,23.474,,,,
29,11/09/2023 11:45:28,23.474,,,,
30,11/09/2023 11:45:29,23.474,,,,
31,11/09/2023 11:45:30,23.474,,,,
32,11/09/2023 11:45:31,23.474,,,,
33,11/09/2023 11:45:32,23.474,,,,
34,11/09/2023 11:45:33,23.474,,,,
35,11/09/2023 11:45:34,23.474,,,,
36,11/09/2023 11:45:35,23.474,,,,
37,11/09/2023 11:45:36,23.474,,,,
38,11/09/2023 11:45:37,23.485,,,,
39,11/09/2023 11:45:38,23.485,,,,
40,11/09/2023 11:45:39,23.485,,,,
41,11/09/2023 11:45:40,23.485,,,,
42,11/09/2023 11:45:41,23.496,,,,
43,11/09/2023 11:45:42,23.496,,,,
44,11/09/2023 11:45:43,23.507,,,,
45,11/09/2023 11:45:44,23.507,,,,
46,11/09/2023 11:45:45,23.507,,,,
