#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Water Detect,Button Down,Button Up,Host Connected,End of File
1,11/10/2023 07:47:01,,Logged,,,,
2,11/10/2023 11:30:00,31.068,,,,,
3,11/10/2023 11:30:01,31.079,,,,,
4,11/10/2023 11:30:02,31.079,,,,,
5,11/10/2023 11:30:03,31.079,,,,,
6,11/10/2023 11:30:04,31.079,,,,,
7,11/10/2023 11:30:05,31.089,,,,,
8,11/10/2023 11:30:06,31.089,,,,,
9,11/10/2023 11:30:07,31.089,,,,,
10,11/10/2023 11:30:08,31.079,,,,,
11,11/10/2023 11:30:09,31.079,,,,,
12,11/10/2023 11:30:10,31.089,,,,,
13,11/10/2023 11:30:11,31.089,,,,,
14,11/10/2023 11:30:12,31.089,,,,,
15,11/10/2023 11:30:13,31.089,,,,,
16,11/10/2023 11:30:14,31.100,,,,,
17,11/10/2023 11:30:15,31.100,,,,,
18,11/10/2023 11:30:16,31.089,,,,,
19,11/10/2023 11:30:17,31.100,,,,,
20,11/10/2023 11:30:18,31.089,,,,,
21,11/10/2023 11:30:19,31.100,,,,,
22,11/10/2023 11:30:20,31.100,,,,,
23,11/10/2023 11:30:21,31.100,,,,,
24,11/10/2023 11:30:22,31.100,,,,,
25,11/10/2023 11:30:23,31.100,,,,,
26,11/10/2023 11:30:24,31.100,,,,,
27,11/10/2023 11:30:25,31.100,,,,,
28,11/10/2023 11:30:26,31.100,,,,,
29,11/10/2023 11:30:27,31.100,,,,,
30,11/10/2023 11:30:28,31.100,,,,,
31,11/10/2023 11:30:29,31.100,,,,,
32,11/10/2023 11:30:30,31.100,,,,,
33,11/10/2023 11:30:31,31.100,,,,,
34,11/10/2023 11:30:32,31.100,,,,,
35,11/10/2023 11:30:33,31.100,,,,,
36,11/10/2023 11:30:34,31.100,,,,,
37,11/10/2023 11:30:35,31.111,,,,,
38,11/10/2023 11:30:36,31.100,,,,,
39,11/10/2023 11:30:37,31.100,,,,,
40,11/10/2023 11:30:38,31.100,,,,,
41,11/10/2023 11:30:39,31.100,,,,,
42,11/10/2023 11:30:40,31.111,,,,,
43,11/10/2023 11:30:41,31.111,,,,,
44,11/10/2023 11:30:42,31.111,,,,,
45,11/10/2023 11:30:43,31.100,,,,,
46,11/10/2023 11:30:44,31.111,,,,,
47,11/10/2023 11:30:45,31.111,,,,,
48,11/10/2023 11:30:46,31.111,,,,,
49,11/10/2023 11:30:47,31.111,,,,,
50,11/10/2023 11:30:48,31.111,,,,,
51,11/10/2023 11:30:49,31.111,,,,,
52,11/10/2023 11:30:50,31.111,,,,,
53,11/10/2023 11:30:51,31.111,,,,,
54,11/10/2023 11:30:52,31.111,,,,,
55,11/10/2023 11:30:53,31.111,,,,,
56,11/10/2023 11:30:54,31.111,,,,,
57,11/10/2023 11:30:55,31.111,,,,,
58,11/10/2023 11:30:56,31.111,,,,,
59,11/10/2023 11:30:57,31.111,,,,,
60,11/10/2023 11:30:58,31.111,,,,,
61,11/10/2023 11:30:59,31.111,,,,,
62,11/10/2023 11:31:00,31.111,,,,,
63,11/10/2023 11:31:01,31.111,,,,,
64,11/10/2023 11:31:02,31.121,,,,,
65,11/10/2023 11:31:03,31.111,,,,,
66,11/10/2023 11:31:04,31.111,,,,,
67,11/10/2023 11:31:05,31.111,,,,,
68,11/10/2023 11:31:06,31.111,,,,,
69,11/10/2023 11:31:07,31.111,,,,,
70,11/10/2023 11:31:08,31.111,,,,,
71,11/10/2023 11:31:09,31.111,,,,,
72,11/10/2023 11:31:10,31.121,,,,,
73,11/10/2023 11:31:11,31.121,,,,,
74,11/10/2023 11:31:12,31.111,,,,,
75,11/10/2023 11:31:13,31.111,,,,,
76,11/10/2023 11:31:14,31.121,,,,,
77,11/10/2023 11:31:15,31.121,,,,,
78,11/10/2023 11:31:16,31.111,,,,,
79,11/10/2023 11:31:17,31.121,,,,,
80,11/10/2023 11:31:18,31.121,,,,,
81,11/10/2023 11:31:19,31.111,,,,,
82,11/10/2023 11:31:20,31.111,,,,,
83,11/10/2023 11:31:21,31.121,,,,,
84,11/10/2023 11:31:22,31.121,,,,,
85,11/10/2023 11:31:23,31.121,,,,,
86,11/10/2023 11:31:24,31.111,,,,,
87,11/10/2023 11:31:25,31.121,,,,,
88,11/10/2023 11:31:26,31.121,,,,,
