#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Button Down,Water Detect,Button Up,Host Connected,End of File
1,11/12/2023 12:30:00,22.917,,,,,
2,11/12/2023 12:31:14,,Logged,,,,
3,11/12/2023 12:31:15,,,In,,,
4,11/12/2023 12:37:45,,,,Logged,,
5,11/12/2023 12:40:00,26.971,,,,,
6,11/12/2023 12:50:00,27.357,,,,,
7,11/12/2023 13:00:00,27.121,,,,,
8,11/12/2023 13:10:00,26.842,,,,,
9,11/12/2023 13:20:00,26.488,,,,,
10,11/12/2023 13:30:00,26.156,,,,,
11,11/12/2023 13:40:00,26.156,,,,,
12,11/12/2023 13:45:41,,Logged,,,,
13,11/12/2023 13:47:37,,,,Logged,,
14,11/12/2023 13:50:00,25.952,,,,,
15,11/12/2023 14:00:00,25.426,,,,,
16,11/12/2023 14:10:00,25.190,,,,,
17,11/12/2023 14:12:50,,Logged,,,,
18,11/12/2023 14:12:51,,Logged,,Logged,,
19,11/12/2023 14:13:15,,,,Logged,,
20,11/12/2023 14:13:16,,Logged,,Logged,,
21,11/12/2023 14:13:17,,Logged,,Logged,,
22,11/12/2023 14:13:47,,Logged,,Logged,,
23,11/12/2023 14:13:51,,,,Logged,,
24,11/12/2023 14:13:52,,Logged,,Logged,,
25,11/12/2023 14:16:56,,Logged,,Logged,,
26,11/12/2023 14:16:57,,Logged,,Logged,,
27,11/12/2023 14:16:58,,Logged,,Logged,,
28,11/12/2023 14:16:59,,Logged,,Logged,,
29,11/12/2023 14:20:00,25.351,,,,,
30,11/12/2023 14:24:00,,,Out,,,
31,11/12/2023 14:24:15,,,In,,,
32,11/12/2023 14:30:00,24.815,,,,,
33,11/12/2023 14:40:00,24.547,,,,,
34,11/12/2023 14:50:00,24.365,,,,,
35,11/12/2023 15:00:00,24.247,,,,,
36,11/12/2023 15:10:00,29.877,,,,,
37,11/12/2023 15:20:00,29.792,,,,,
38,11/12/2023 15:30:00,29.448,,,,,
39,11/12/2023 15:40:00,28.976,,,,,
40,11/12/2023 15:50:00,28.655,,,,,
41,11/12/2023 16:00:00,28.365,,,,,
42,11/12/2023 16:10:00,28.172,,,,,
43,11/12/2023 16:20:00,27.840,,,,,
44,11/12/2023 16:30:00,27.561,,,,,
45,11/12/2023 16:30:03,,Logged,,Logged,,
46,11/12/2023 16:40:00,27.218,,,,,
47,11/12/2023 16:50:00,27.571,,,,,
48,11/12/2023 17:00:00,27.990,,,,,
49,11/12/2023 17:10:00,27.561,,,,,
50,11/12/2023 17:20:00,27.164,,,,,
51,11/12/2023 17:20:40,,Logged,,Logged,,
52,11/12/2023 17:30:00,26.756,,,,,
53,11/12/2023 17:40:00,27.861,,,,,
