#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Water Detect,Host Connected,End of File
1,11/15/2023 07:50:20,,In,,
2,11/15/2023 08:00:00,26.617,,,
3,11/15/2023 08:10:00,26.585,,,
4,11/15/2023 08:20:00,26.392,,,
5,11/15/2023 08:30:00,27.636,,,
6,11/15/2023 08:40:00,27.346,,,
7,11/15/2023 08:50:00,26.864,,,
8,11/15/2023 09:00:00,26.413,,,
9,11/15/2023 09:10:00,27.507,,,
10,11/15/2023 09:20:00,27.057,,,
11,11/15/2023 09:30:00,26.713,,,
12,11/15/2023 09:40:00,26.413,,,
13,11/15/2023 09:50:00,27.293,,,
14,11/15/2023 10:00:00,27.089,,,
15,11/15/2023 10:10:00,26.692,,,
16,11/15/2023 10:20:00,27.003,,,
17,11/15/2023 10:30:00,27.218,,,
18,11/15/2023 10:40:00,26.831,,,
19,11/15/2023 10:50:00,26.402,,,
20,11/15/2023 11:00:00,27.411,,,
21,11/15/2023 11:10:00,27.100,,,
22,11/15/2023 11:20:00,26.649,,,
23,11/15/2023 11:30:00,26.982,,,
24,11/15/2023 11:40:00,27.475,,,
25,11/15/2023 11:50:00,27.250,,,
26,11/15/2023 12:00:00,27.035,,,
27,11/15/2023 12:10:00,26.842,,,
28,11/15/2023 12:20:00,26.681,,,
29,11/15/2023 12:30:00,26.553,,,
30,11/15/2023 12:40:00,26.435,,,
31,11/15/2023 12:50:00,26.338,,,
32,11/15/2023 13:00:00,27.325,,,
33,11/15/2023 13:10:00,27.614,,,
34,11/15/2023 13:20:00,27.421,,,
35,11/15/2023 13:30:00,27.250,,,
36,11/15/2023 13:40:00,27.089,,,
37,11/15/2023 13:50:00,26.896,,,
38,11/15/2023 14:00:00,26.435,,,
39,11/15/2023 14:10:00,27.282,,,
40,11/15/2023 14:20:00,27.239,,,
41,11/15/2023 14:30:00,27.121,,,
42,11/15/2023 14:40:00,27.003,,,
43,11/15/2023 14:50:00,26.842,,,
44,11/15/2023 15:00:00,26.585,,,
45,11/15/2023 15:10:00,26.821,,,
46,11/15/2023 15:20:00,27.218,,,
47,11/15/2023 15:30:00,26.896,,,
48,11/15/2023 15:40:00,26.553,,,
49,11/15/2023 15:50:00,26.713,,,
50,11/15/2023 16:00:00,27.389,,,
51,11/15/2023 16:10:00,27.078,,,
52,11/15/2023 16:20:00,26.703,,,
53,11/15/2023 16:30:00,26.413,,,
54,11/15/2023 16:40:00,27.271,,,
55,11/15/2023 16:50:00,27.100,,,
56,11/15/2023 17:00:00,26.756,,,
57,11/15/2023 17:10:00,26.413,,,
58,11/15/2023 17:20:00,27.250,,,
59,11/15/2023 17:30:00,27.057,,,
60,11/15/2023 17:40:00,26.671,,,
61,11/15/2023 17:50:00,26.531,,,
62,11/15/2023 18:00:00,27.325,,,
63,11/15/2023 18:10:00,27.142,,,
64,11/15/2023 18:20:00,26.810,,,
65,11/15/2023 18:30:00,26.467,,,
