sample_id,species,lifestage,photo,date_collected,site,experiment,notes
ACR-A1,Acropora,Adult,yes,20231104,Avaiti,PI Curves,
ACR-A2,Acropora,Adult,yes,20231104,Avaiti,PI Curves,
ACR-A3,Acropora,Adult,yes,20231104,Avaiti,PI Curves,
ACR-A4,Acropora,Adult,yes,20231104,Avaiti,PI Curves,
ACR-A5,Acropora,Adult,yes,20231104,Avaiti,PI Curves,
ACR-R1,Acropora,Recruit,yes,20231104,Avaiti,PI Curves,
ACR-R2,Acropora,Recruit,yes,20231104,Avaiti,PI Curves,
ACR-R3,Acropora,Recruit,yes,20231104,Avaiti,PI Curves,
ACR-R4,Acropora,Recruit,yes,20231104,Avaiti,PI Curves,
ACR-R5,Acropora,Recruit,yes,20231104,Avaiti,PI Curves,
ACR-R6,Acropora,Recruit,yes,20231104,Avaiti,PI Curves,
ACR-R7,Acropora,Recruit,yes,20231104,Avaiti,PI Curves,
ACR-R8,Acropora,Recruit,yes,20231104,Avaiti,PI Curves,
ACR-R9,Acropora,Recruit,yes,20231104,Avaiti,PI Curves,
ACR-R10,Acropora,Recruit,yes,20231104,Avaiti,PI Curves,
POC-A1,Pocillopora,Adult,yes,20231104,Avaiti,PI Curves,
POC-A2,Pocillopora,Adult,yes,20231104,Avaiti,PI Curves,
POC-A3,Pocillopora,Adult,yes,20231104,Avaiti,PI Curves,
POC-A4,Pocillopora,Adult,yes,20231104,Avaiti,PI Curves,
POC-A5,Pocillopora,Adult,yes,20231104,Avaiti,PI Curves,
POC-R1,Pocillopora,Recruit,yes,20231104,Avaiti,PI Curves,
POC-R2,Pocillopora,Recruit,yes,20231104,Avaiti,PI Curves,
POC-R3,Pocillopora,Recruit,yes,20231104,Avaiti,PI Curves,
POC-R4,Pocillopora,Recruit,yes,20231104,Avaiti,PI Curves,
POC-R5,Pocillopora,Recruit,yes,20231104,Avaiti,PI Curves,
POC-R6,Pocillopora,Recruit,yes,20231104,Avaiti,PI Curves,
POC-R7,Pocillopora,Recruit,yes,20231104,Avaiti,PI Curves,
POC-R8,Pocillopora,Recruit,yes,20231104,Avaiti,PI Curves,
POC-R9,Pocillopora,Recruit,yes,20231104,Avaiti,PI Curves,
POC-R10,Pocillopora,Recruit,yes,20231104,Avaiti,PI Curves,
POR-A1,Porites,Adult,yes,20231104,Avaiti,PI Curves,
POR-A2,Porites,Adult,yes,20231104,Avaiti,PI Curves,
POR-A3,Porites,Adult,yes,20231104,Avaiti,PI Curves,
POR-A4,Porites,Adult,yes,20231104,Avaiti,PI Curves,
POR-A5,Porites,Adult,yes,20231104,Avaiti,PI Curves,
POR-R1,Porites,Recruit,yes,20231104,Avaiti,PI Curves,
POR-R2,Porites,Recruit,yes,20231104,Avaiti,PI Curves,
POR-R3,Porites,Recruit,yes,20231104,Avaiti,PI Curves,
POR-R4,Porites,Recruit,yes,20231104,Avaiti,PI Curves,
POR-R5,Porites,Recruit,yes,20231104,Avaiti,PI Curves,
POR-R6,Porites,Recruit,yes,20231104,Avaiti,PI Curves,
POR-R7,Porites,Recruit,yes,20231104,Avaiti,PI Curves,
POR-R8,Porites,Recruit,yes,20231104,Avaiti,PI Curves,
POR-R9,Porites,Recruit,yes,20231104,Avaiti,PI Curves,
POR-R10,Porites,Recruit,yes,20231104,Avaiti,PI Curves,
ACR-A6,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A7,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A8,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A9,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A10,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A11,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A12,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A13,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A14,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A15,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A16,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-A17,Acropora,Adult,yes,20231106,Avaiti,PR Rates,
ACR-R11,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R12,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R13,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R14,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R15,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R16,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R17,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R18,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R19,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R20,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R21,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R22,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R23,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R24,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R25,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R26,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R27,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R28,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R29,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-R30,Acropora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-A6,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A7,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A8,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A9,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A10,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A11,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A12,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A13,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A14,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A15,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A16,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-A17,Pocillopora,Adult,yes,20231106,Avaiti,PR Rates,
POC-R11,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R12,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R13,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R14,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R15,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R16,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R17,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R18,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R19,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R20,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R21,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R22,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R23,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R24,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R25,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R26,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R27,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R28,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R29,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POC-R30,Pocillopora,Recruit,yes,20231106,Avaiti,PR Rates,
POR-A6,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A7,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A8,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A9,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A10,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A11,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A12,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A13,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A14,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A15,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A16,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-A17,Porites,Adult,yes,20231106,Avaiti,PR Rates,
POR-R11,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R12,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R13,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R14,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R15,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R16,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R17,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R18,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R19,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R20,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R21,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R22,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R23,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R24,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R25,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R26,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R27,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R28,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R29,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
POR-R30,Porites,Recruit,yes,20231106,Avaiti,PR Rates,
ACR-A18,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A19,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A20,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A21,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A22,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A23,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A24,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A25,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A26,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A27,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A28,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A29,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A30,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A31,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-A32,Acropora,Adult,yes,20231111,Avaiti,Isotopes,
ACR-R31,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R32,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R33,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R34,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R35,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R36,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R37,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R38,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R39,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R40,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R41,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R42,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R43,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R44,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R45,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R46,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R47,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R48,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R49,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R50,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
ACR-R51,Acropora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-A18,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A19,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A20,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A21,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A22,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A23,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A24,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A25,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A26,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A27,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A28,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A29,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A30,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A31,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-A32,Pocillopora,Adult,yes,20231111,Avaiti,Isotopes,
POC-R31,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R32,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R33,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R34,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R35,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R37,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R38,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R36,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R39,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R40,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R41,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R42,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R43,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R44,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R45,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R46,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R47,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R48,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R49,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R50,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POC-R51,Pocillopora,Recruit,yes,20231111,Avaiti,Isotopes,
POR-A18,Porites,Adult,yes,20231111,Avaiti,Isotopes,
POR-A19,Porites,Adult,yes,20231111,Avaiti,Isotopes,
POR-A20,Porites,Adult,yes,20231111,Avaiti,Isotopes,
POR-A21,Porites,Adult,yes,20231111,Avaiti,Isotopes,
POR-A22,Porites,Adult,yes,20231111,Avaiti,Isotopes,
POR-A23,Porites,Adult,yes,20231111,Avaiti,Isotopes,
POR-A24,Porites,Adult,yes,20231112,Avaiti,Isotopes,
POR-A25,Porites,Adult,yes,20231112,Avaiti,Isotopes,
POR-A26,Porites,Adult,yes,20231112,Avaiti,Isotopes,
POR-A27,Porites,Adult,yes,20231112,Avaiti,Isotopes,
POR-A28,Porites,Adult,yes,20231112,Avaiti,Isotopes,
POR-A29,Porites,Adult,yes,20231112,Avaiti,Isotopes,
POR-A30,Porites,Adult,yes,20231111,Avaiti,Isotopes,
POR-A31,Porites,Adult,yes,20231111,Avaiti,Isotopes,
POR-A32,Porites,Adult,yes,20231111,Avaiti,Isotopes,
POR-R31,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R32,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R33,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R34,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R35,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R36,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R37,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R38,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R39,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R40,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R41,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R42,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R43,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R44,Porites,Recruit,yes,20231112,Avaiti,Isotopes,
POR-R45,Porites,Recruit,yes,20231112,Avaiti,Isotopes,
POR-R46,Porites,Recruit,yes,20231112,Avaiti,Isotopes,
POR-R47,Porites,Recruit,yes,20231112,Avaiti,Isotopes,
POR-R48,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R49,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R50,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
POR-R51,Porites,Recruit,yes,20231111,Avaiti,Isotopes,
