Compound,Label,Blank1,Blank2,Blank3,Blank4,Blank5,Blank6,13C-Blank_1,13C-Blank_2,12C-Ctrl_Acropora-unlabeled_1,12C-Ctrl_Pocillopora-unlabeled_1,13C-Ctrl_Acropora-dark_1,13C-Ctrl_Pocillopora-dark_1,13C-Larvae_Pocillopora-27_1,13C-Larvae_Pocillopora-27_2,13C-Larvae_Pocillopora-27_3,13C-Larvae_Pocillopora-27_4,13C-Larvae_Pocillopora-27_5,13C-Larvae_Pocillopora-27_6,13C-Larvae_Pocillopora-30_1,13C-Larvae_Pocillopora-30_2,13C-Larvae_Pocillopora-30_3,13C-Larvae_Pocillopora-30_4,13C-Larvae_Pocillopora-30_5,13C-Larvae_Pocillopora-30_6,13C-Larvae_Pocillopora-33_1,13C-Larvae_Pocillopora-33_2,13C-Larvae_Pocillopora-33_3,13C-Larvae_Pocillopora-33_4,13C-Larvae_Pocillopora-33_5,13C-Larvae_Pocillopora-dark_1,13C-Larvae_Pocillopora-dark_2,13C-Larvae_Pocillopora-dark_3,13C-Recruit_Acropora-27_1,13C-Recruit_Acropora-27_2,13C-Recruit_Acropora-27_3,13C-Recruit_Acropora-27_4,13C-Recruit_Acropora-27_5,13C-Recruit_Acropora-30_1,13C-Recruit_Acropora-30_2,13C-Recruit_Acropora-30_3,13C-Recruit_Acropora-30_4,13C-Recruit_Acropora-30_5,13C-Recruit_Acropora-30_6,13C-Recruit_Acropora-33_1,13C-Recruit_Acropora-33_2,13C-Recruit_Acropora-33_3,13C-Recruit_Acropora-33_4,13C-Recruit_Acropora-33_5,13C-Recruit_Acropora-dark_1,13C-Recruit_Pocillopora-27_1,13C-Recruit_Pocillopora-27_2,13C-Recruit_Pocillopora-27_3,13C-Recruit_Pocillopora-27_4,13C-Recruit_Pocillopora-27_5,13C-Recruit_Pocillopora-30_1,13C-Recruit_Pocillopora-30_2,13C-Recruit_Pocillopora-30_3,13C-Recruit_Pocillopora-30_4,13C-Recruit_Pocillopora-33_1,13C-Recruit_Pocillopora-33_2,13C-Recruit_Pocillopora-33_3,13C-Recruit_Pocillopora-33_4,13C-Recruit_Pocillopora-33_5,13C-Recruit_Pocillopora-dark_1
Glutathione disulfide,0,1,0.468067592,1,1,1,,0.866013449,0.967738437,1,1,1,1,0.793018737,0.827884144,1,1,1,0.943033007,0.892688333,0.889403293,0.837490372,1,0.963044509,1,0.876792061,0.895998965,0.976577351,0.900801529,0.858394171,1,1,0.997297163,0.830439693,0.911712535,0.860315105,0.896957437,0.939711215,0.907658832,0.905544689,0.779538448,0.607052713,0.835518293,0.909036263,0.77361969,0.911778638,0.701468604,0.891725459,0.540210983,0.997824333,0.965511489,0.950999118,0.924499809,0.928860809,0.902838509,0.924753761,0.91906536,0.891965774,0.950985685,0.864906827,0.839883807,0.920426379,0.841459387,0.945447821,1
Glutathione disulfide,1,0,0.531932408,0,0,0,,0.052655221,0.003036968,0,0,0,0,0.184951679,0.172115856,0,0,0,0.027324143,0.091756066,0.049745086,0.084086556,0,0.016297772,0,0.123207939,0.104001035,0.023422649,0.099198471,0.141605829,0,0,0.002702837,0.035339039,0.014737485,0,0.008546796,0,0.02892135,0.031674785,0.057290753,0.106444902,0.05827807,0.050758173,0.095937463,0.044656337,0.084650174,0.059972566,0.152726083,0,0.020921862,0.009176301,0.026356928,0.031860078,0.065727484,0.015755441,0.033750233,0.053262638,0.024652395,0.074053498,0.094864649,0.047665119,0.090014744,0.030155371,0
Glutathione disulfide,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078423072,0,0.020657718,0,0,0,0,0,0,0,0,0,0,0,0.018682966,0,0,0,0,0,0.04696984,0,0,0.039621128,0,0.009806409,0,0.070138455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutathione disulfide,3,0,0,0,0,0,,0.034691057,0.005125289,0,0,0,0,0.022029584,0,0,0,0,0.001176552,0.0155556,0.060851621,0,0,0,0,0,0,0,0,0,0,0,0,0.039631927,0.020944523,0.121001929,0.042495032,0.012237215,0.016351644,0.015976506,0.057200424,0.042100349,0.030494654,0.01995325,0,0.006369685,0.066166616,0.00719945,0.062443196,0,0,0.007410265,0.012147791,0.008671318,0.007389952,0.017105403,0.015450993,0.012670083,0.005586152,0.022613378,0.025719033,0.010382984,0.020896055,0.000347529,0
Glutathione disulfide,4,0,0,0,0,0,,0.021176852,0.01099963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035948406,0.025372172,0,0.025668471,0.021933788,0.025238182,0.021274153,0.048965316,0.117660697,0.034639402,0.004848674,0.090821719,0.021079405,0.066625557,0.020809315,0.064413337,0,0.003669525,0.017909745,0.021360852,0.011981586,0.01709261,0.01628545,0.01666688,0.018394251,0.00776938,0.021857763,0.02022505,0.014533765,0.029461721,0.01113051,0
Glutathione disulfide,5,0,0,0,0,0,,0.014156538,0.011835488,0,0,0,0,0,0,0,0,0,0.028466297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045625043,0.008404494,0,0.018769345,0.017962357,0.014687087,0.015360634,0.033288667,0.039406498,0.023121631,0.015403641,0,0.013139161,0.038435556,0.012908496,0.037150466,0,0.009506673,0.01190687,0.015634619,0.013342615,0.003956891,0.017012888,0.007359803,0.014974078,0.007621706,0.011381458,0.012088414,0.001322032,0.012242731,0.01036167,0
Glutathione disulfide,6,0,0,0,0,0,,0.011306884,0.001264189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013015891,0.018828791,0,0.00756292,0.008155424,0.007142905,0.010169233,0.02371639,0.040365,0.01794795,0,0,0.002976774,0.032847084,0.007384714,0.072917479,0.002175667,0.000390451,0.002597702,0,0.005283594,0.002994553,0.009087058,0.00770673,0.008733176,0.003384682,0.005187076,0.007219046,0.005669721,0.005925362,0.002557099,0
Glutathione disulfide,7,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutathione disulfide,8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutathione disulfide,9,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
