Compound,Label,Blank1,Blank2,Blank3,Blank4,Blank5,Blank6,13C-Blank_1,13C-Blank_2,12C-Ctrl_Acropora-unlabeled_1,12C-Ctrl_Pocillopora-unlabeled_1,13C-Ctrl_Acropora-dark_1,13C-Ctrl_Pocillopora-dark_1,13C-Larvae_Pocillopora-27_1,13C-Larvae_Pocillopora-27_2,13C-Larvae_Pocillopora-27_3,13C-Larvae_Pocillopora-27_4,13C-Larvae_Pocillopora-27_5,13C-Larvae_Pocillopora-27_6,13C-Larvae_Pocillopora-30_1,13C-Larvae_Pocillopora-30_2,13C-Larvae_Pocillopora-30_3,13C-Larvae_Pocillopora-30_4,13C-Larvae_Pocillopora-30_5,13C-Larvae_Pocillopora-30_6,13C-Larvae_Pocillopora-33_1,13C-Larvae_Pocillopora-33_2,13C-Larvae_Pocillopora-33_3,13C-Larvae_Pocillopora-33_4,13C-Larvae_Pocillopora-33_5,13C-Larvae_Pocillopora-dark_1,13C-Larvae_Pocillopora-dark_2,13C-Larvae_Pocillopora-dark_3,13C-Recruit_Acropora-27_1,13C-Recruit_Acropora-27_2,13C-Recruit_Acropora-27_3,13C-Recruit_Acropora-27_4,13C-Recruit_Acropora-27_5,13C-Recruit_Acropora-30_1,13C-Recruit_Acropora-30_2,13C-Recruit_Acropora-30_3,13C-Recruit_Acropora-30_4,13C-Recruit_Acropora-30_5,13C-Recruit_Acropora-30_6,13C-Recruit_Acropora-33_1,13C-Recruit_Acropora-33_2,13C-Recruit_Acropora-33_3,13C-Recruit_Acropora-33_4,13C-Recruit_Acropora-33_5,13C-Recruit_Acropora-dark_1,13C-Recruit_Pocillopora-27_1,13C-Recruit_Pocillopora-27_2,13C-Recruit_Pocillopora-27_3,13C-Recruit_Pocillopora-27_4,13C-Recruit_Pocillopora-27_5,13C-Recruit_Pocillopora-30_1,13C-Recruit_Pocillopora-30_2,13C-Recruit_Pocillopora-30_3,13C-Recruit_Pocillopora-30_4,13C-Recruit_Pocillopora-33_1,13C-Recruit_Pocillopora-33_2,13C-Recruit_Pocillopora-33_3,13C-Recruit_Pocillopora-33_4,13C-Recruit_Pocillopora-33_5,13C-Recruit_Pocillopora-dark_1
Glutathione disulfide,0,1005.458116,1155.856888,6414.418037,1535.603194,1998.462266,0,609212.5895,764950.1558,879835.0464,953849.2836,919865.493,1264463.162,15362.83874,16552.9028,9884.867211,12929.44458,9405.973315,31605.76262,18758.49462,12508.07347,10595.35278,12265.22461,13967.09384,12395.1184,10084.48373,20913.46147,13012.09736,15978.58806,23518.11453,16667.1278,25961.4745,20046.25773,216612.6408,311853.8658,8398.972608,368011.6808,956966.099,359477.4745,703033.4561,302394.5986,16443.57259,557067.7246,79544.12165,14056.89749,355141.8752,208341.7212,414075.5869,11743.40444,673785.0777,380181.4469,327710.2985,294544.0662,757552.6038,629166.6834,626054.4917,277489.444,322114.7708,1266981.45,536450.2273,1429897.447,432322.3862,462361.107,1125618.989,654255.4408
Glutathione disulfide,1,0,1313.566135,0,0,0,0,37041.25312,2400.57555,0,0,0,0,3582.995824,3441.323337,0,0,0,915.7689932,1928.114903,699.5872301,1063.805337,0,236.3675971,0,1417.084522,2427.482306,312.0877054,1759.601252,3879.688633,0,0,54.32861215,9217.866965,5040.998578,0,3506.6554,0,11454.27488,24591.20339,22223.93827,2883.331946,38855.91973,4441.532663,1743.211951,17393.84406,25141.77093,27848.45403,3320.04386,0,8238.228046,3162.114846,8397.272525,25984.17875,45803.92054,10666.3684,10190.06254,19234.68703,32843.95043,45930.97717,161506.5295,22388.20896,49460.87374,35901.99039,0
Glutathione disulfide,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992.15483,0,299.6001583,0,0,0,0,0,0,0,0,0,0,0,182.3956342,0,0,0,0,0,1272.298029,0,0,719.9275586,0,2912.581063,0,1524.708436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutathione disulfide,3,0,0,0,0,0,0,24404.04186,4051.291525,0,0,0,0,426.7704263,0,0,0,0,39.43216803,326.8774018,855.7833689,0,0,0,0,0,0,0,0,0,0,0,0,10337.62781,7164.133776,1181.301923,17435.23993,12461.91364,6476.054101,12403.60427,22188.89828,1140.395427,20331.79613,1745.985029,0,2481.020883,19652.00807,3343.087567,1357.424656,0,0,2553.546038,3870.265645,7072.081302,5149.881591,11580.28728,4665.051658,4575.535202,7442.331152,14025.73264,43786.50937,4876.866539,11481.86519,413.7561684,0
Glutathione disulfide,4,0,0,0,0,0,0,14897.2339,8694.672247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9376.814735,8678.623489,0,10531.4886,22336.53425,9995.559582,16516.51371,18994.37706,3187.140388,23095.23653,424.2773322,1650.257366,8210.523025,19788.31728,9662.872597,1400.252672,0,1444.918321,6171.622803,6805.531109,9771.842884,11911.43352,11025.18254,5032.159395,6642.698599,10351.00845,13557.06961,34433.03434,6826.479618,16188.4863,13251.61756,0
Glutathione disulfide,5,0,0,0,0,0,0,9958.668758,9355.377151,0,0,0,0,0,0,0,0,0,954.0482894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11900.87753,2874.781041,0,7700.85397,18292.18048,5816.807707,11925.46307,12913.17091,1067.425612,15415.95766,1347.877045,0,5117.762243,11415.66392,5994.101713,807.5973349,0,3743.363651,4103.057292,4981.162984,10881.85927,2757.463564,11517.6549,2222.11357,5407.574983,10154.26381,7059.240911,20580.4572,620.9557727,6727.077843,12336.26251,0
Glutathione disulfide,6,0,0,0,0,0,0,7954.028784,999.2797135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3395.076773,6440.441497,0,3102.982071,8305.173399,2828.941129,7895.039404,9199.941706,1093.389093,11966.49263,0,0,1159.46676,9755.843685,3429.115529,1585.1204,1469.128623,153.7445878,895.1570477,0,4309.149603,2086.832565,6151.90088,2326.859813,3153.80372,4509.352626,3217.234572,12290.38592,2663.056148,3255.839712,3044.398313,0
Glutathione disulfide,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutathione disulfide,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glutathione disulfide,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
