label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Blank4,Blank5,Blank6,12C_Ctrl_Acropora_unlabeled_1,12C_Ctrl_Pocillopora_unlabeled_1,13C_Blank_1,13C_Blank_2,13C_Ctrl_Acropora_dark_1,13C_Ctrl_Pocillopora_dark_1,13C_Larvae_Pocillopora_27_1,13C_Larvae_Pocillopora_27_2,13C_Larvae_Pocillopora_27_3,13C_Larvae_Pocillopora_27_4,13C_Larvae_Pocillopora_27_5,13C_Larvae_Pocillopora_27_6,13C_Larvae_Pocillopora_30_1,13C_Larvae_Pocillopora_30_2,13C_Larvae_Pocillopora_30_3,13C_Larvae_Pocillopora_30_4,13C_Larvae_Pocillopora_30_5,13C_Larvae_Pocillopora_30_6,13C_Larvae_Pocillopora_33_1,13C_Larvae_Pocillopora_33_2,13C_Larvae_Pocillopora_33_3,13C_Larvae_Pocillopora_33_4,13C_Larvae_Pocillopora_33_5,13C_Larvae_Pocillopora_dark_1,13C_Larvae_Pocillopora_dark_2,13C_Larvae_Pocillopora_dark_3,13C_Recruit_Acropora_27_1,13C_Recruit_Acropora_27_2,13C_Recruit_Acropora_27_3,13C_Recruit_Acropora_27_4,13C_Recruit_Acropora_27_5,13C_Recruit_Acropora_30_1,13C_Recruit_Acropora_30_2,13C_Recruit_Acropora_30_3,13C_Recruit_Acropora_30_4,13C_Recruit_Acropora_30_5,13C_Recruit_Acropora_30_6,13C_Recruit_Acropora_33_1,13C_Recruit_Acropora_33_2,13C_Recruit_Acropora_33_3,13C_Recruit_Acropora_33_4,13C_Recruit_Acropora_33_5,13C_Recruit_Acropora_dark_1,13C_Recruit_Pocillopora_27_1,13C_Recruit_Pocillopora_27_2,13C_Recruit_Pocillopora_27_3,13C_Recruit_Pocillopora_27_4,13C_Recruit_Pocillopora_27_5,13C_Recruit_Pocillopora_30_1,13C_Recruit_Pocillopora_30_2,13C_Recruit_Pocillopora_30_3,13C_Recruit_Pocillopora_30_4,13C_Recruit_Pocillopora_33_1,13C_Recruit_Pocillopora_33_2,13C_Recruit_Pocillopora_33_3,13C_Recruit_Pocillopora_33_4,13C_Recruit_Pocillopora_33_5,13C_Recruit_Pocillopora_dark_1
,1,1,60,613.158813,12.708,0.844711,[M+H]+,C12 PARENT,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.002,0.696795,613.158813,755.67,832.11,4605.53,1154.11,1501.98,0,621923.06,673971.56,420796.09,530170.88,649362.25,890853.5,10655.7,11532.27,7140.99,9215.59,6559.43,21805.52,13019.09,8730.4,7284.28,8538.98,9603.16,8813.35,7052.97,14504.89,8990.75,11099.22,16373.66,11973.44,18348.27,13963.2,149318.3,216042,5802.65,253907.81,668889.44,248315.67,485525.5,208518.81,11337.11,384718.38,54991.59,9670.07,245393.48,143563.17,285852.72,8105.26,472757.53,264208.09,226263.19,203522.02,523586.84,434889.91,432220.16,191639.73,222596.89,875519.19,369876.97,986993.94,298498.62,318719,780202.56,459902.47
,1,9,54,614.161743,12.69,0.853144,,C13-label-1,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.02,1.391313,613.158813,0,1227.31,820.22,0,0,0,148638.84,162451.39,139431.17,150940.7,158446.22,225260.2,5420.43,5845.32,1097.58,1289.93,1941.79,6481.8,5005.09,3091.61,2704.94,2067.33,2723.01,1394.21,3177.94,5866.36,2723.01,4468.9,7447.01,2106.49,4431.86,4245.97,46026.23,63965.71,1422.26,70729.63,175482.36,75354.8,148515.36,70727.02,4980.18,130655.98,18087.19,3809.79,78734.59,55052.36,96081.62,4435.99,126974.94,82436.01,63491.43,61262.45,160917.03,149984.64,124301.4,58947.27,73802.78,261529.05,129709.06,375203.91,95984.23,118185.56,243969.5,118908.68
,1,10,30,615.163208,12.729,0.852276,,C13-label-2,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.019,4.464782,613.158813,0,0,0,0,0,0,2085.03,1557.22,53901.02,33835.74,2507.77,2055.8,1505.93,823.14,0,1100.36,0,2822.75,1102.62,0,2103.15,920.27,1783.03,920.1,0,1353.81,955.85,803.6,1111.23,0,0,0,21834.1,16141.71,1031.4,31218.99,23653.5,28751.85,58097.92,32230.1,3087.3,51267.61,6312.26,2388.13,29007.85,28078.23,38970.64,2862.6,1740.9,9685.28,25582.6,22539.52,57361,53417.04,50579.2,23034.42,26955.95,95073.88,58767.7,153566.97,38389.44,54090.19,57300.31,3850.65
,1,11,27,616.167542,12.689,0.850658,,C13-label-3,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.021,2.872619,613.158813,0,0,0,0,0,0,0,936.45,35017.47,21562.78,0,990.81,1082.39,0,0,0,0,889.06,925.98,1050.64,0,0,0,0,0,0,0,0,794.4,0,0,0,13221.03,13119.09,1114.95,21116.39,32673.18,14180.15,27640.28,24945.45,1746.63,31366.74,3502.02,0,11865.12,21816.43,14793.58,1829.93,1358.92,6755.1,9767.41,10497.84,25292.19,22994.39,23732.79,10756.7,12700.68,37991.5,26729.3,79868.02,15681.83,23680.06,31078.57,803.57
,1,12,28,617.171753,12.69,0.848154,,C13-label-4,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.02,1.483422,613.158813,0,0,0,0,0,0,0,0,18879.33,11420.38,1069.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10008.76,9157.75,0,12568.97,23575.72,10482.64,18405.63,19399.42,2715.16,23833.35,1199.66,1453.47,8677.63,19303.83,10409.43,1503.54,0,3601.35,6781.08,7435.15,13164.92,13772.99,13707.98,6124.56,7777.62,16662.44,15967.57,43274.5,8499.47,17028.43,16860.86,0
,1,2,27,618.17511,12.679,0.846848,,C13-label-5,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.031,1.481014,613.158813,0,0,0,0,0,0,0,0,13016.12,9204.16,0,0,0,0,0,0,0,762.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11352.73,4787,0,9360.87,19067.21,6891.6,13506.85,15213.99,1484.73,17942.03,1361.88,0,5662.87,14043.34,6835.76,1071.63,0,3301.8,4511.83,5418.85,11053.28,5315.43,12027.01,3277.17,5913.77,11219.58,9456.07,27232.6,2686.47,9333.24,12326.51,0
,1,3,22,619.178345,12.681,0.845876,,C13-label-6,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.029,1.675763,613.158813,0,0,0,0,0,0,0,0,9710.15,3411.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5732.03,6332.31,0,5081.06,11911.73,4288.31,9923.21,11436.72,1346.81,14343.38,0,0,2677.52,11625.86,4691.03,1493.22,1249.71,965.24,2088.02,1133.74,6314.59,3461.34,7968.76,2756.32,4086.02,6495.15,5359.63,17334.87,2954.85,5535.44,5908.63,0
,15,15,58,147.112793,11.422,0.80447,[M+H]+,C12 PARENT,Lysine,Lysine,C6H14N2O2,1.248,0.103722,147.112793,8154.52,4935.28,10436.03,13288.41,9912.14,9569.41,2628346.75,3283440.75,127749.25,2551812.75,1609238.12,7434742,97041.98,101819.54,112293.6,87479.8,55196.04,121965.35,72179,68379.81,63449.76,60249.5,67273.07,54810.45,54116.81,100975.69,71529.85,100145.72,91790.25,76779.31,108202.98,108905.44,616113.19,1716426.88,448198.34,1460064.5,945736.81,635985,1011240.06,1173293.5,743370.19,1223775,479442.88,2056096,1183642.75,518012.59,1126924.12,2309406.25,1072149.88,836813.31,1281956.62,622870.19,1792207.38,1724813.5,4773757.5,492178.66,1533062.88,2817815.25,4393045.5,5807258.5,1913602.62,916565.94,1534095.5,3776451
,15,24,55,148.11618,11.409,0.854108,,C13-label-1,Lysine,Lysine,C6H14N2O2,1.261,0.103019,147.112793,672.34,774.79,718.13,687.87,704.89,863.56,156358.42,224132.05,5198.96,176185.55,116214.79,519209.5,7588.33,8550.57,6475.26,7073.11,4503.41,9021.47,5504.49,5212.5,4927.63,5196.64,5388.85,4965.57,5213.14,8184.32,5400.04,8237.86,7021.07,4777.56,7098.44,7466.46,41041.82,130499.25,29915.18,125472.8,71374.65,42391.93,70831.85,81150.06,53784.61,85978.76,36452.08,145541.53,81753.04,37476.69,79186.52,165465.31,80981.45,57508.69,91242.16,44312.77,121279.5,125550.79,346956.31,33459.13,106533.71,197933.89,319208.53,421298.75,134536.52,70685.59,112678.15,283870.16
,15,25,38,149.119766,11.405,0.850065,,C13-label-2,Lysine,Lysine,C6H14N2O2,1.265,1.637214,147.112793,0,0,0,0,0,0,4622.95,3802.25,0,24387.31,5490.94,15772.47,2307.12,870.21,1140.94,1045.48,0,2485.35,1015.8,824.33,1020.53,0,774.43,962.6,954.01,2729.07,3826.46,4337.14,2969.28,0,700.29,0,4292.05,28441.59,4793.21,52211.86,16006.09,7307.8,6048.57,6243.9,16680.77,12275.74,6524.16,14421.29,3344.02,5430.61,5374.48,27890.25,2634.14,6034.32,18919.33,5690.73,21206.59,31405.48,80049.6,5911.15,14093.12,26383.68,93336.55,91706.96,30200.57,17192.71,23983.97,9658.64
