Date,Sample.ID,Chamber.ID,SDR,Temperature,Species,Type,Salinity,Plate,Run,Volume,Org.Number,Notes
20231115,1,A1,641,30,Pocillopora,Sample,36,1,1,0.00008,60,
20231115,7,B1,641,30,Pocillopora,Sample,36,1,1,0.00008,60,
20231115,13,C1,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,19,D1,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,2,A2,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,8,B2,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,14,C2,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,20,D2,641,30,Pocillopora,Sample,36,1,1,0.00008,60,
20231115,3,A3,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,9,B3,641,30,Pocillopora,Sample,36,1,1,0.00008,60,
20231115,15,C3,641,30,Pocillopora,Sample,36,1,1,0.00008,60,
20231115,21,D3,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,4,A4,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,10,B4,641,30,Pocillopora,Sample,36,1,1,0.00008,60,
20231115,16,C4,641,30,Pocillopora,Sample,36,1,1,0.00008,60,
20231115,22,D4,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,5,A5,641,30,Pocillopora,Sample,36,1,1,0.00008,60,
20231115,11,B5,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,17,C5,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,23,D5,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,6,A6,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,12,B6,641,30,Pocillopora,Sample,36,1,1,0.00008,60,
20231115,18,C6,641,30,Pocillopora,Sample,36,1,1,0.00008,60,
20231115,24,D6,641,30,NA,Blank,36,1,1,0.00008,NA,
20231115,1,A1,740,30,Acropora,Sample,36,2,1,0.00008,6,
20231115,7,B1,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,13,C1,740,30,Acropora,Sample,36,2,1,0.00008,6,
20231115,19,D1,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,2,A2,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,8,B2,740,30,Acropora,Sample,36,2,1,0.00008,6,
20231115,14,C2,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,20,D2,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,3,A3,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,9,B3,740,30,Acropora,Sample,36,2,1,0.00008,6,
20231115,15,C3,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,21,D3,740,30,Acropora,Sample,36,2,1,0.00008,6,
20231115,4,A4,740,30,Acropora,Sample,36,2,1,0.00008,6,
20231115,10,B4,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,16,C4,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,22,D4,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,5,A5,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,11,B5,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,17,C5,740,30,Acropora,Sample,36,2,1,0.00008,6,
20231115,23,D5,740,30,Acropora,Sample,36,2,1,0.00008,6,
20231115,6,A6,740,30,Acropora,Sample,36,2,1,0.00008,6,
20231115,12,B6,740,30,Acropora,Sample,36,2,1,0.00008,6,
20231115,18,C6,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,24,D6,740,30,NA,Blank,36,2,1,0.00008,NA,
20231115,1,A1,641,27,Acropora,Sample,36,3,2,0.00008,6,
20231115,7,B1,641,27,Acropora,Sample,36,3,2,0.00008,6,
20231115,13,C1,641,27,Acropora,Sample,36,3,2,0.00008,6,
20231115,19,D1,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,2,A2,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,8,B2,641,27,Acropora,Sample,36,3,2,0.00008,6,
20231115,14,C2,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,20,D2,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,3,A3,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,9,B3,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,15,C3,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,21,D3,641,27,Acropora,Sample,36,3,2,0.00008,6,
20231115,4,A4,641,27,Acropora,Sample,36,3,2,0.00008,6,
20231115,10,B4,641,27,Acropora,Sample,36,3,2,0.00008,6,
20231115,16,C4,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,22,D4,641,27,Acropora,Sample,36,3,2,0.00008,6,
20231115,5,A5,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,11,B5,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,17,C5,641,27,Acropora,Sample,36,3,2,0.00008,6,
20231115,23,D5,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,6,A6,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,12,B6,641,27,Acropora,Sample,36,3,2,0.00008,6,
20231115,18,C6,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,24,D6,641,27,NA,Blank,36,3,2,0.00008,NA,
20231115,1,A1,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,7,B1,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,13,C1,740,27,Pocillopora,Sample,36,4,2,0.00008,60,
20231115,19,D1,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,2,A2,740,27,Pocillopora,Sample,36,4,2,0.00008,60,
20231115,8,B2,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,14,C2,740,27,Pocillopora,Sample,36,4,2,0.00008,60,
20231115,20,D2,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,3,A3,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,9,B3,740,27,Pocillopora,Sample,36,4,2,0.00008,60,
20231115,15,C3,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,21,D3,740,27,Pocillopora,Sample,36,4,2,0.00008,60,
20231115,4,A4,740,27,Pocillopora,Sample,36,4,2,0.00008,60,
20231115,10,B4,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,16,C4,740,27,Pocillopora,Sample,36,4,2,0.00008,60,
20231115,22,D4,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,5,A5,740,27,Pocillopora,Sample,36,4,2,0.00008,60,
20231115,11,B5,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,17,C5,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,23,D5,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,6,A6,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,12,B6,740,27,Pocillopora,Sample,36,4,2,0.00008,60,
20231115,18,C6,740,27,NA,Blank,36,4,2,0.00008,NA,
20231115,24,D6,740,27,Pocillopora,Sample,36,4,2,0.00008,60,
20231115,1,A1,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,7,B1,641,33,Acropora,Sample,36,5,3,0.00008,6,
20231115,13,C1,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,19,D1,641,33,Acropora,Sample,36,5,3,0.00008,6,
20231115,2,A2,641,33,Acropora,Sample,36,5,3,0.00008,6,
20231115,8,B2,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,14,C2,641,33,Acropora,Sample,36,5,3,0.00008,6,
20231115,20,D2,641,33,Acropora,Sample,36,5,3,0.00008,6,
20231115,3,A3,641,33,Acropora,Sample,36,5,3,0.00008,6,
20231115,9,B3,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,15,C3,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,21,D3,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,4,A4,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,10,B4,641,33,Acropora,Sample,36,5,3,0.00008,6,
20231115,16,C4,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,22,D4,641,33,Acropora,Sample,36,5,3,0.00008,6,
20231115,5,A5,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,11,B5,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,17,C5,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,23,D5,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,6,A6,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,12,B6,641,33,Acropora,Sample,36,5,3,0.00008,6,
20231115,18,C6,641,33,NA,Blank,36,5,3,0.00008,NA,
20231115,24,D6,641,33,Acropora,Sample,36,5,3,0.00008,6,
20231115,1,A1,740,33,Pocillopora,Sample,36,6,3,0.00008,60,
20231115,7,B1,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,13,C1,740,33,Pocillopora,Sample,36,6,3,0.00008,60,
20231115,19,D1,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,2,A2,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,8,B2,740,33,Pocillopora,Sample,36,6,3,0.00008,60,
20231115,14,C2,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,20,D2,740,33,Pocillopora,Sample,36,6,3,0.00008,60,
20231115,3,A3,740,33,Pocillopora,Sample,36,6,3,0.00008,60,
20231115,9,B3,740,33,Pocillopora,Sample,36,6,3,0.00008,60,
20231115,15,C3,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,21,D3,740,33,Pocillopora,Sample,36,6,3,0.00008,60,
20231115,4,A4,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,10,B4,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,16,C4,740,33,Pocillopora,Sample,36,6,3,0.00008,60,
20231115,22,D4,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,5,A5,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,11,B5,740,33,Pocillopora,Sample,36,6,3,0.00008,60,
20231115,17,C5,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,23,D5,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,6,A6,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,12,B6,740,33,NA,Blank,36,6,3,0.00008,NA,
20231115,18,C6,740,33,Pocillopora,Sample,36,6,3,0.00008,60,
20231115,24,D6,740,33,NA,Blank,36,6,3,0.00008,NA,
