"PreSens Measurement Studio 2","3.0.1.1503",""
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"11/09/2023","15:08:53","9","default","993475001","OXY-CH9","0.000","min","202.273","μmol/L","Humid","21.380","deg","104082","µV","27.000","°C","1012.000","hPa","36.0","pmil","0","54.412","deg","20.950","°C","100.000","%a.s.","22.261","deg","20.470","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","26.25","0","74.00","249148.25","SABD0002000012","AAV2.0.0.13","3.0.1.1503","PSt7-10","000000-000","11/5/2023 4:36:19 PM","0000-00","0","no battery","V"
"11/09/2023","15:08:54","9","default","993475001","OXY-CH9","0.019","min","202.254","μmol/L","Humid","21.381","deg","104003","µV","27.000","°C","1012.000","hPa","36.0","pmil","0","54.412","deg","20.950","°C","100.000","%a.s.","22.261","deg","20.470","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","26.25","0","74.00","249003.76","SABD0002000012","AAV2.0.0.13","3.0.1.1503","PSt7-10","000000-000","11/5/2023 4:36:19 PM","0000-00","0","no battery","V"
"11/09/2023","15:08:55","9","default","993475001","OXY-CH9","0.036","min","202.291","μmol/L","Humid","21.379","deg","103957","µV","27.000","°C","1012.000","hPa","36.0","pmil","0","54.412","deg","20.950","°C","100.000","%a.s.","22.261","deg","20.470","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","26.25","0","74.00","248944.57","SABD0002000012","AAV2.0.0.13","3.0.1.1503","PSt7-10","000000-000","11/5/2023 4:36:19 PM","0000-00","0","no battery","V"
"11/09/2023","15:08:56","9","default","993475001","OXY-CH9","0.053","min","202.291","μmol/L","Humid","21.379","deg","103932","µV","27.000","°C","1012.000","hPa","36.0","pmil","0","54.412","deg","20.950","°C","100.000","%a.s.","22.261","deg","20.470","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","26.25","0","74.00","248915.40","SABD0002000012","AAV2.0.0.13","3.0.1.1503","PSt7-10","000000-000","11/5/2023 4:36:19 PM","0000-00","0","no battery","V"
"11/09/2023","15:08:57","9","default","993475001","OXY-CH9","0.069","min","202.273","μmol/L","Humid","21.380","deg","103903","µV","27.000","°C","1012.000","hPa","36.0","pmil","0","54.412","deg","20.950","°C","100.000","%a.s.","22.261","deg","20.470","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","26.25","0","74.00","248885.62","SABD0002000012","AAV2.0.0.13","3.0.1.1503","PSt7-10","000000-000","11/5/2023 4:36:19 PM","0000-00","0","no battery","V"
"11/09/2023","15:08:58","9","default","993475001","OXY-CH9","0.086","min","202.236","μmol/L","Humid","21.382","deg","103897","µV","27.000","°C","1012.000","hPa","36.0","pmil","0","54.412","deg","20.950","°C","100.000","%a.s.","22.261","deg","20.470","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","26.25","0","74.00","248864.24","SABD0002000012","AAV2.0.0.13","3.0.1.1503","PSt7-10","000000-000","11/5/2023 4:36:19 PM","0000-00","0","no battery","V"
"11/09/2023","15:08:59","9","default","993475001","OXY-CH9","0.102","min","202.309","μmol/L","Humid","21.378","deg","103886","µV","27.000","°C","1012.000","hPa","36.0","pmil","0","54.412","deg","20.950","°C","100.000","%a.s.","22.261","deg","20.470","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","26.25","0","74.00","248854.93","SABD0002000012","AAV2.0.0.13","3.0.1.1503","PSt7-10","000000-000","11/5/2023 4:36:19 PM","0000-00","0","no battery","V"
"11/09/2023","15:09:00","9","default","993475001","OXY-CH9","0.119","min","202.291","μmol/L","Humid","21.379","deg","103867","µV","27.000","°C","1012.000","hPa","36.0","pmil","0","54.412","deg","20.950","°C","100.000","%a.s.","22.261","deg","20.470","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","26.25","0","74.00","248852.80","SABD0002000012","AAV2.0.0.13","3.0.1.1503","PSt7-10","000000-000","11/5/2023 4:36:19 PM","0000-00","0","no battery","V"
"11/09/2023","15:09:01","9","default","993475001","OXY-CH9","0.136","min","202.345","μmol/L","Humid","21.376","deg","103853","µV","27.000","°C","1012.000","hPa","36.0","pmil","0","54.412","deg","20.950","°C","100.000","%a.s.","22.261","deg","20.470","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","26.25","0","74.00","248842.99","SABD0002000012","AAV2.0.0.13","3.0.1.1503","PSt7-10","000000-000","11/5/2023 4:36:19 PM","0000-00","0","no battery","V"
"11/09/2023","15:09:02","9","default","993475001","OXY-CH9","0.152","min","202.327","μmol/L","Humid","21.377","deg","103842","µV","27.000","°C","1012.000","hPa","36.0","pmil","0","54.412","deg","20.950","°C","100.000","%a.s.","22.261","deg","20.470","°C","1012.000","hPa","0.861","-0.02056","0.00035","-0.00011","0","14.7","Humid","26.25","0","74.00","248828.74","SABD0002000012","AAV2.0.0.13","3.0.1.1503","PSt7-10","000000-000","11/5/2023 4:36:19 PM","0000-00","0","no battery","V"
