well,colony_id
A1,POR-R27
A2,BK
A3,POC-A15
A4,POR-R25
A5,POC-A8
A6,POC-A14
A7,POR-R22
A8,POR-R20
A9,POR-A7
A10,ACR-R27
A11,ACR-R25
A12,ACR-A14
B1,POR-R27
B2,BK
B3,POC-A15
B4,POR-R25
B5,POC-A8
B6,POC-A14
B7,POR-R22
B8,POR-R20
B9,POR-A7
B10,ACR-R27
B11,ACR-R25
B12,ACR-A14
C1,POR-A6
C2,ACR-R22
C3,POR-A16
C4,ACR-R17
C5,POR-A9
C6,ACR-R30
C7,ACR-A11
C8,POR-A13
C9,POR-A14
C10,ACR-R13
C11,POR-A15
C12,ACR-R29
D1,POR-A6
D2,ACR-R22
D3,POR-A16
D4,ACR-R17
D5,POR-A9
D6,ACR-R30
D7,ACR-A11
D8,POR-A13
D9,POR-A14
D10,ACR-R13
D11,POR-A15
D12,ACR-R29
E1,POC-A17
E2,POR-A17
E3,ACR-A8
E4,POR-R19
E5,POC-A7
E6,ACR-R15
E7,POR-R24
E8,POC-A10
E9,ACR-R25B
E10,ACR-R19
E11,POC-A9
E12,ACR-R11
F1,POC-A17
F2,POR-A17
F3,ACR-A8
F4,POR-R19
F5,POC-A7
F6,ACR-R15
F7,POR-R24
F8,POC-A10
F9,ACR-R25B
F10,ACR-R19
F11,POC-A9
F12,ACR-R11
G1,POC-R26
G2,ACR-A16
G3,POR-A8
G4,ACR-R14
G5,POC-R30
G6,POR-A11
G7,ACR-A9
G8,POC-R29
G9,POR-R28
G10,ACR-A12
G11,POR-R14
G12,POR-A9B
H1,POC-R26
H2,ACR-A16
H3,POR-A8
H4,ACR-R14
H5,POC-R30
H6,POR-A11
H7,ACR-A9
H8,POC-R29
H9,POR-R28
H10,ACR-A12
H11,POR-R14
H12,POR-A9B
