sample_id,date_airbrushed,total_slurry_ml,sym_vol_ml,host_vol_ml,resuspended_sym_vol_ml,extra_slurry_tube,tube_box,slurry_bag,freezer,notes
POR-R15,20231118,3.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R22,20231118,4.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A8,20231118,7.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R18,20231118,1.75,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R24,20231118,9.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A12,20231118,6,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A17,20231118,12,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R28,20231118,3.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R24,20231118,3.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-A10,20231118,10.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R24,20231118,5.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A11,20231118,5.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-A13,20231118,3,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-A8,20231118,7.75,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R25,20231118,19.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,There are 2 slurry tubes (both 15 mL tubes) labeled A and B; aliquot taken from A
POC-A12,20231118,2.75,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R27,20231118,7.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R28,20231118,3,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R20,20231118,5.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A14,20231118,7.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R27,20231118,3.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R21,20231118,1.5,0.5,0.5,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,"Accidentally only too 500 uL for aliquot, 1 mL extra slurry remaining in tube"
POR-R11,20231118,2,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A13,20231118,4.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R15,20231119,7,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R19,20231119,9,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R12,20231119,2.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R30,20231119,8.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A17,20231119,3.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A13,20231119,8.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R17,20231119,2,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A8,20231119,7,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R17,20231119,8.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-A7,20231119,4.75,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A11,20231119,5.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R20,20231119,9.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A10,20231119,4.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A7,20231119,4.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-A16,20231119,5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R30,20231119,4,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A6,20231119,9.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R23,20231119,4.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R26,20231119,0.8,0.8,0.8,0.5,no,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,"no extra slurry frozen, all used in aliquot; use S tube for chl assay "
POR-R21,20231119,4.75,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R23,20231119,3,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A15,20231119,21,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,There are 2 slurry tubes (both 15 mL tubes) labeled A and B; aliquot taken from A
POC-A15,20231119,8,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A14,20231119,9,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R26,20231119,4.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R16,20231119,1.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R27,20231119,5.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R13,20231119,2.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R29,20231119,13.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A16,20231119,11.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R18,20231119,4.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R25,20231119,7.75,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R13,20231119,5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R14,20231119,3,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R18,20231119,3.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R14,20231119,9.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R15,20231119,4.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-A6,20231119,2.6,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R16,20231119,3.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R19,20231119,9.6,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A9,20231119,9.25,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A7,20231119,13,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-A14,20231119,14,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R13,20231119,9.8,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-A9,20231119,8.2,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R19,20231119,5.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-A17,20231119,15,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A9,20231119,24.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,There are 2 slurry tubes (both 15 mL tubes) labeled A and B; aliquot taken from A; was outside during airbrushing for longer; more dilute due to airbrush malfunction adding more PBS
POR-R22,20231119,14.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R11,20231119,1.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-A11,20231119,3.75,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R26,20231119,3.5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R16,20231119,4,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R14,20231119,9.75,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R11,20231119,0.4,0.4,0.4,0.5,no,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,"no extra slurry frozen, all used in aliquot; use S tube for chl assay "
POC-R29,20231119,9,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R29,20231119,5,1,1,0.5,yes,Box S1 sym; Box H1 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A12,20231119,4.25,1,1,0.5,yes,Box S2 sym; Box H2 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-A10,20231119,2,1,1,0.5,yes,Box S2 sym; Box H2 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A15,20231119,1.5,1,1,0.5,yes,Box S2 sym; Box H2 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A6,20231119,6.5,1,1,0.5,yes,Box S2 sym; Box H2 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-A16,20231119,10,1,1,0.5,yes,Box S2 sym; Box H2 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R22,20231119,2.25,1,1,0.5,yes,Box S2 sym; Box H2 host,Orange mesh bag,Minus 40C molecular shelf 4,
POR-R28,20231119,6,1,1,0.5,yes,Box S2 sym; Box H2 host,Orange mesh bag,Minus 40C molecular shelf 4,
POC-R30,20231119,6,1,1,0.5,yes,Box S2 sym; Box H2 host,Orange mesh bag,Minus 40C molecular shelf 4,
ACR-R12,20231119,3.25,1,1,0.5,yes,Box S2 sym; Box H2 host,Orange mesh bag,Minus 40C molecular shelf 4,
