Well,562:562
A1,1.583
B1,0.659
C1,0.622
D1,1.701
E1,0.953
F1,0.9
G1,1.324
H1,1.856
A2,1.565
B2,0.686
C2,0.623
D2,1.675
E2,0.965
F2,0.929
G2,1.366
H2,1.772
A3,1.137
B3,1.57
C3,0.705
D3,0.945
E3,1.637
F3,3.339
G3,0.235
H3,0.053
A4,1.156
B4,1.593
C4,0.708
D4,0.932
E4,1.631
F4,0.945
G4,0.086
H4,0.05
A5,0.049
B5,0.049
C5,0.051
D5,0.051
E5,0.051
F5,0.062
G5,0.053
H5,0.051
A6,0.053
B6,0.051
C6,0.051
D6,0.055
E6,0.05
F6,0.05
G6,0.054
H6,0.05
A7,0.049
B7,0.05
C7,0.05
D7,0.052
E7,0.05
F7,0.05
G7,0.051
H7,0.051
A8,0.051
B8,0.052
C8,0.057
D8,0.05
E8,0.052
F8,0.055
G8,0.049
H8,0.051
A9,0.051
B9,0.051
C9,0.049
D9,0.051
E9,0.049
F9,0.05
G9,0.05
H9,0.05
A10,0.052
B10,0.049
C10,0.049
D10,0.05
E10,0.049
F10,0.049
G10,0.05
H10,0.05
A11,0.049
B11,0.048
C11,0.048
D11,0.051
E11,0.051
F11,0.05
G11,0.051
H11,0.049
A12,0.049
B12,0.05
C12,0.049
D12,0.05
E12,0.05
F12,0.049
G12,0.05
H12,0.05
