Software Version,3.15.15,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Putnam Lab\Desktop\20231207_plate1_bca.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 3,,,,,,,,,,,,,
Date,12/7/23,,,,,,,,,,,,,
Time,12:58:25 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,19041023,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,27.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,1.583,1.565,1.137,1.156,0.049,0.053,0.049,0.051,0.051,0.052,0.049,0.049,562
,B,0.659,0.686,1.57,1.593,0.049,0.051,0.05,0.052,0.051,0.049,0.048,0.05,562
,C,0.622,0.623,0.705,0.708,0.051,0.051,0.05,0.057,0.049,0.049,0.048,0.049,562
,D,1.701,1.675,0.945,0.932,0.051,0.055,0.052,0.05,0.051,0.05,0.051,0.05,562
,E,0.953,0.965,1.637,1.631,0.051,0.05,0.05,0.052,0.049,0.049,0.051,0.05,562
,F,0.9,0.929,3.339,0.945,0.062,0.05,0.05,0.055,0.05,0.049,0.05,0.049,562
,G,1.324,1.366,0.235,0.086,0.053,0.054,0.051,0.049,0.05,0.05,0.051,0.05,562
,H,1.856,1.772,0.053,0.05,0.051,0.05,0.051,0.051,0.05,0.05,0.049,0.05,562
