sample_id,sample,species,lifestage,diamter,weight1.g,weight2.g,Notes
Standard1,Standard,NA,NA,,,,
Standard2,Standard,NA,NA,,,,
Standard3,Standard,NA,NA,,,,
Standard4,Standard,NA,NA,,,,
Standard5,Standard,NA,NA,,,,
Standard6,Standard,NA,NA,,,,
Standard7,Standard,NA,NA,,,,
ACR-A-1,Coral,Acropora,Adult,,,,
ACR-A-2,Coral,Acropora,Adult,,,,
ACR-A-3,Coral,Acropora,Adult,,,,
ACR-A-4,Coral,Acropora,Adult,,,,
ACR-A-5,Coral,Acropora,Adult,,,,
ACR-R-1,Coral,Acropora,Recruit,,,,
ACR-R-2,Coral,Acropora,Recruit,,,,
ACR-R-3,Coral,Acropora,Recruit,,,,
ACR-R-4,Coral,Acropora,Recruit,,,,
ACR-R-5,Coral,Acropora,Recruit,,,,
ACR-R-6,Coral,Acropora,Recruit,,,,
ACR-R-7,Coral,Acropora,Recruit,,,,
ACR-R-8,Coral,Acropora,Recruit,,,,
ACR-R-9,Coral,Acropora,Recruit,,,,
ACR-R-10,Coral,Acropora,Recruit,,,,
POC-A-1,Coral,Pocillopora,Adult,,,,
POC-A-2,Coral,Pocillopora,Adult,,,,
POC-A-3,Coral,Pocillopora,Adult,,,,
POC-A-4,Coral,Pocillopora,Adult,,,,
POC-A-5,Coral,Pocillopora,Adult,,,,
POC-R-1,Coral,Pocillopora,Recruit,,,,
POC-R-2,Coral,Pocillopora,Recruit,,,,
POC-R-3,Coral,Pocillopora,Recruit,,,,
POC-R-4,Coral,Pocillopora,Recruit,,,,
POC-R-5,Coral,Pocillopora,Recruit,,,,
POC-R-6,Coral,Pocillopora,Recruit,,,,
POC-R-7,Coral,Pocillopora,Recruit,,,,
POC-R-8,Coral,Pocillopora,Recruit,,,,
POC-R-9,Coral,Pocillopora,Recruit,,,,
POC-R-10,Coral,Pocillopora,Recruit,,,,
POR-A-1,Coral,Porites,Adult,,,,
POR-A-2,Coral,Porites,Adult,,,,
POR-A-3,Coral,Porites,Adult,,,,
POR-A-4,Coral,Porites,Adult,,,,
POR-A-5,Coral,Porites,Adult,,,,
POR-R-1,Coral,Porites,Recruit,,,,
POR-R-2,Coral,Porites,Recruit,,,,
POR-R-3,Coral,Porites,Recruit,,,,
POR-R-4,Coral,Porites,Recruit,,,,
POR-R-5,Coral,Porites,Recruit,,,,
POR-R-6,Coral,Porites,Recruit,,,,
POR-R-7,Coral,Porites,Recruit,,,,
POR-R-8,Coral,Porites,Recruit,,,,
POR-R-9,Coral,Porites,Recruit,,,,
POR-R-10,Coral,Porites,Recruit,,,,
