original,file,uw hyak,same?
6109b51215c615c37c8d8fda910e4390,10_S131_R1_001.fastq.gz,6109b51215c615c37c8d8fda910e4390,TRUE
d11b26c9edc376ab1fe9eadbabcbe709,10_S131_R2_001.fastq.gz,d11b26c9edc376ab1fe9eadbabcbe709,TRUE
80c3d294aa41fc9b2bba52dcb12268cf,10_S921_R1_001.fastq.gz,80c3d294aa41fc9b2bba52dcb12268cf,TRUE
fb95f0b5804e3aedc53f2684f4f2ee31,10_S921_R2_001.fastq.gz,fb95f0b5804e3aedc53f2684f4f2ee31,TRUE
292420390c6addac9712dcbdc3de5eab,11_S132_R1_001.fastq.gz,292420390c6addac9712dcbdc3de5eab,TRUE
250ce59d7ef1c9b8eacfe654cb5d65e5,11_S132_R2_001.fastq.gz,250ce59d7ef1c9b8eacfe654cb5d65e5,TRUE
4d5f3a8136227eb532d08345197d374d,11_S922_R1_001.fastq.gz,4d5f3a8136227eb532d08345197d374d,TRUE
e8aaf2c9f3cb7c29981ad280f3fc0827,11_S922_R2_001.fastq.gz,e8aaf2c9f3cb7c29981ad280f3fc0827,TRUE
ff57614a0b9eea4702d3a6524f1ac34a,12_S133_R1_001.fastq.gz,ff57614a0b9eea4702d3a6524f1ac34a,TRUE
8f20a3f34d94ef42d290d1971347cb16,12_S133_R2_001.fastq.gz,8f20a3f34d94ef42d290d1971347cb16,TRUE
3fe1361c503c9b32c785329477bc5f93,12_S923_R1_001.fastq.gz,3fe1361c503c9b32c785329477bc5f93,TRUE
1184ee8cd1ebc6179128c2b0c2340bd3,12_S923_R2_001.fastq.gz,1184ee8cd1ebc6179128c2b0c2340bd3,TRUE
933e2b89d3439782c0b1d3d4535bedcd,13_S134_R1_001.fastq.gz,933e2b89d3439782c0b1d3d4535bedcd,TRUE
968a70d6d22e975bee167a63e23642ac,13_S134_R2_001.fastq.gz,968a70d6d22e975bee167a63e23642ac,TRUE
89f765feaaa79bd672e5b7960c8d2dd9,13_S924_R1_001.fastq.gz,89f765feaaa79bd672e5b7960c8d2dd9,TRUE
5fbcc2b31237cac12becd60b8434eb9d,13_S924_R2_001.fastq.gz,5fbcc2b31237cac12becd60b8434eb9d,TRUE
209ca1185bd647202f707e00fd981b4a,14_S135_R1_001.fastq.gz,209ca1185bd647202f707e00fd981b4a,TRUE
bd9e2f39f4b79501df7bc0cbb161e9ff,14_S135_R2_001.fastq.gz,bd9e2f39f4b79501df7bc0cbb161e9ff,TRUE
7599d9b946313aafc3d8d624887a3180,14_S925_R1_001.fastq.gz,7599d9b946313aafc3d8d624887a3180,TRUE
111ddf61f4ac9ce56d769563a6ddf269,14_S925_R2_001.fastq.gz,111ddf61f4ac9ce56d769563a6ddf269,TRUE
722383122531fbe127c8223ba37ccaac,15_S136_R1_001.fastq.gz,722383122531fbe127c8223ba37ccaac,TRUE
04640526a9c9d0a39cdd4b4dcc5401aa,15_S136_R2_001.fastq.gz,04640526a9c9d0a39cdd4b4dcc5401aa,TRUE
fe464e356688ab5d14421db446f437aa,15_S926_R1_001.fastq.gz,fe464e356688ab5d14421db446f437aa,TRUE
da3cef4309d75e44c8571959e1871714,15_S926_R2_001.fastq.gz,da3cef4309d75e44c8571959e1871714,TRUE
842e9ebb87a570434735806f03c0966f,16_S137_R1_001.fastq.gz,842e9ebb87a570434735806f03c0966f,TRUE
f2669367dc3f6edb210cc24bb6c159bf,16_S137_R2_001.fastq.gz,f2669367dc3f6edb210cc24bb6c159bf,TRUE
2046e0f7babcdcf355216b6bfbcd0dec,16_S927_R1_001.fastq.gz,2046e0f7babcdcf355216b6bfbcd0dec,TRUE
f43dbaf1071e6b49fa2d717fc7c297eb,16_S927_R2_001.fastq.gz,f43dbaf1071e6b49fa2d717fc7c297eb,TRUE
f53a3d3eaef3f6fa91583f0ee24c3854,17_S138_R1_001.fastq.gz,f53a3d3eaef3f6fa91583f0ee24c3854,TRUE
1a78ab47127a163570ab3a6505c59095,17_S138_R2_001.fastq.gz,1a78ab47127a163570ab3a6505c59095,TRUE
3720eb820e590d0d7d49130f359d3e69,17_S928_R1_001.fastq.gz,3720eb820e590d0d7d49130f359d3e69,TRUE
3f9728986d2f2dae2af603218ae87fcc,17_S928_R2_001.fastq.gz,3f9728986d2f2dae2af603218ae87fcc,TRUE
1199e2d939fed99a6af7977afbe26a68,18_S139_R1_001.fastq.gz,1199e2d939fed99a6af7977afbe26a68,TRUE
5c895ceb2d1ff7ebb0db178a52b41454,18_S139_R2_001.fastq.gz,5c895ceb2d1ff7ebb0db178a52b41454,TRUE
cd910840195a14d9fff4dd65b2f9bd99,18_S929_R1_001.fastq.gz,cd910840195a14d9fff4dd65b2f9bd99,TRUE
0461b099d2cd0354ccb0d24bda06dbaa,18_S929_R2_001.fastq.gz,0461b099d2cd0354ccb0d24bda06dbaa,TRUE
c5ffb1c5184a2609660e8818bad016fe,19_S140_R1_001.fastq.gz,c5ffb1c5184a2609660e8818bad016fe,TRUE
3a38823565dc1eae7add9bd6c7a302a9,19_S140_R2_001.fastq.gz,3a38823565dc1eae7add9bd6c7a302a9,TRUE
8073b5bb6653c07f398283ca6672d5fa,19_S930_R1_001.fastq.gz,8073b5bb6653c07f398283ca6672d5fa,TRUE
39aea8250e0d78eccd95ddac2ec25101,19_S930_R2_001.fastq.gz,39aea8250e0d78eccd95ddac2ec25101,TRUE
810f578a21cd8104c2a65ea1029e14f0,1_S122_R1_001.fastq.gz,810f578a21cd8104c2a65ea1029e14f0,TRUE
e860790b63765dd2a68e46fe5df6c869,1_S122_R2_001.fastq.gz,e860790b63765dd2a68e46fe5df6c869,TRUE
d6803ad0d24fa6b8ed61a66a26c9f1c1,1_S912_R1_001.fastq.gz,d6803ad0d24fa6b8ed61a66a26c9f1c1,TRUE
e033da8a7c96469d90e690129979d794,1_S912_R2_001.fastq.gz,e033da8a7c96469d90e690129979d794,TRUE
c09fdfb7812130b0f56d6311ec9e58b2,20_S141_R1_001.fastq.gz,c09fdfb7812130b0f56d6311ec9e58b2,TRUE
e3ce8baa20f453d5f7f62b9065d61636,20_S141_R2_001.fastq.gz,e3ce8baa20f453d5f7f62b9065d61636,TRUE
2e953c21582ddf1f8386f46fb8353b99,20_S931_R1_001.fastq.gz,2e953c21582ddf1f8386f46fb8353b99,TRUE
8373f63400be5ce01443c6d2750651d4,20_S931_R2_001.fastq.gz,8373f63400be5ce01443c6d2750651d4,TRUE
c8c30fdbda517d0aaf38f07178db36e7,21_S142_R1_001.fastq.gz,c8c30fdbda517d0aaf38f07178db36e7,TRUE
1d006963c2d47d8a29202c537a46a375,21_S142_R2_001.fastq.gz,1d006963c2d47d8a29202c537a46a375,TRUE
3127f4970ac5add9198bb007a3f604f1,21_S932_R1_001.fastq.gz,3127f4970ac5add9198bb007a3f604f1,TRUE
d5e3961d4063a57371869f7e1a87fa0e,21_S932_R2_001.fastq.gz,d5e3961d4063a57371869f7e1a87fa0e,TRUE
b3f72e2a16726100527bf2c3c7dd6ef0,22_S143_R1_001.fastq.gz,b3f72e2a16726100527bf2c3c7dd6ef0,TRUE
627530a61ec1757bbb0e3bf7408c41d3,22_S143_R2_001.fastq.gz,627530a61ec1757bbb0e3bf7408c41d3,TRUE
60ee9943aac2fcca7bf59286bcb28327,22_S933_R1_001.fastq.gz,60ee9943aac2fcca7bf59286bcb28327,TRUE
