Run ID,Assay Name,Test Name,Test Date,Qubit tube conc.,Qubit tube conc. units,Original sample conc.,Original sample conc. units,Sample Volume (uL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Emission,Green RFU,Far Red RFU
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112143,RNA 1,154,ng/mL,15.4,ng/uL,2,100,46.24,787.14,,Red,Far Red,,301.69
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112154,RNA 2,78.5,ng/mL,7.85,ng/uL,2,100,46.24,787.14,,Red,Far Red,,174.6
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112200,RNA 3,208,ng/mL,20.8,ng/uL,2,100,46.24,787.14,,Red,Far Red,,389.5
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112207,RNA 4,45,ng/mL,4.5,ng/uL,2,100,46.24,787.14,,Red,Far Red,,117.45
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112215,RNA 5,51,ng/mL,5.1,ng/uL,2,100,46.24,787.14,,Red,Far Red,,127.52
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112221,RNA 6,180,ng/mL,18,ng/uL,2,100,46.24,787.14,,Red,Far Red,,343.98
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112228,RNA 7,87.9,ng/mL,8.79,ng/uL,2,100,46.24,787.14,,Red,Far Red,,190.62
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112235,RNA 8,140,ng/mL,14,ng/uL,2,100,46.24,787.14,,Red,Far Red,,279.26
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112242,RNA 9,222,ng/mL,22.2,ng/uL,2,100,46.24,787.14,,Red,Far Red,,410.07
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112249,RNA 10,72.3,ng/mL,7.23,ng/uL,2,100,46.24,787.14,,Red,Far Red,,163.97
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112256,RNA 11,453,ng/mL,45.3,ng/uL,2,100,46.24,787.14,,Red,Far Red,,731
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112303,RNA 12,189,ng/mL,18.9,ng/uL,2,100,46.24,787.14,,Red,Far Red,,359.16
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112310,RNA 13,44.6,ng/mL,4.46,ng/uL,2,100,46.24,787.14,,Red,Far Red,,116.74
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112317,RNA 14,234,ng/mL,23.4,ng/uL,2,100,46.24,787.14,,Red,Far Red,,429.69
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112326,RNA 15,48.8,ng/mL,4.88,ng/uL,2,100,46.24,787.14,,Red,Far Red,,123.82
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112333,RNA 16,56.8,ng/mL,5.68,ng/uL,2,100,46.24,787.14,,Red,Far Red,,137.42
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112341,RNA 17,184,ng/mL,18.4,ng/uL,2,100,46.24,787.14,,Red,Far Red,,351.17
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112347,RNA 18,220,ng/mL,22,ng/uL,2,100,46.24,787.14,,Red,Far Red,,407.72
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112354,RNA 19,46.5,ng/mL,4.65,ng/uL,2,100,46.24,787.14,,Red,Far Red,,119.89
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112401,RNA 20,252,ng/mL,25.2,ng/uL,2,100,46.24,787.14,,Red,Far Red,,456.33
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112408,RNA 21,325,ng/mL,32.5,ng/uL,2,100,46.24,787.14,,Red,Far Red,,562.43
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112415,RNA 22,49.9,ng/mL,4.99,ng/uL,2,100,46.24,787.14,,Red,Far Red,,125.67
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112423,RNA 23,119,ng/mL,11.9,ng/uL,2,100,46.24,787.14,,Red,Far Red,,243.91
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112430,RNA 24,262,ng/mL,26.2,ng/uL,2,100,46.24,787.14,,Red,Far Red,,472.24
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112437,RNA 25,159,ng/mL,15.9,ng/uL,2,100,46.24,787.14,,Red,Far Red,,310.32
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112444,RNA 26,51.7,ng/mL,5.17,ng/uL,2,100,46.24,787.14,,Red,Far Red,,128.77
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112450,RNA 27,184,ng/mL,18.4,ng/uL,2,100,46.24,787.14,,Red,Far Red,,350.29
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112456,RNA 28,117,ng/mL,11.7,ng/uL,2,100,46.24,787.14,,Red,Far Red,,240.05
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112502,RNA 29,220,ng/mL,22,ng/uL,2,100,46.24,787.14,,Red,Far Red,,406.91
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112509,RNA 30,54.9,ng/mL,5.49,ng/uL,2,100,46.24,787.14,,Red,Far Red,,134.19
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112516,RNA 31,158,ng/mL,15.8,ng/uL,2,100,46.24,787.14,,Red,Far Red,,307.82
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112523,RNA 32,125,ng/mL,12.5,ng/uL,2,100,46.24,787.14,,Red,Far Red,,253.34
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112530,RNA 33,330,ng/mL,33,ng/uL,2,100,46.24,787.14,,Red,Far Red,,570.41
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112538,RNA 34,46.7,ng/mL,4.67,ng/uL,2,100,46.24,787.14,,Red,Far Red,,120.25
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112545,RNA 35,168,ng/mL,16.8,ng/uL,2,100,46.24,787.14,,Red,Far Red,,324.99
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112553,RNA 36,86.7,ng/mL,8.67,ng/uL,2,100,46.24,787.14,,Red,Far Red,,188.51
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112601,RNA 37,267,ng/mL,26.7,ng/uL,2,100,46.24,787.14,,Red,Far Red,,479.06
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112608,RNA 38,54.7,ng/mL,5.47,ng/uL,2,100,46.24,787.14,,Red,Far Red,,133.94
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112617,RNA 39,190,ng/mL,19,ng/uL,2,100,46.24,787.14,,Red,Far Red,,360.4
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112627,RNA 40,196,ng/mL,19.6,ng/uL,2,100,46.24,787.14,,Red,Far Red,,370.32
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112635,RNA 41,242,ng/mL,24.2,ng/uL,2,100,46.24,787.14,,Red,Far Red,,441.95
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112641,RNA 42,104,ng/mL,10.4,ng/uL,2,100,46.24,787.14,,Red,Far Red,,218.53
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112648,RNA 43,110,ng/mL,11,ng/uL,2,100,46.24,787.14,,Red,Far Red,,227.53
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112655,RNA 44,117,ng/mL,11.7,ng/uL,2,100,46.24,787.14,,Red,Far Red,,240.59
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112702,RNA 45,40.9,ng/mL,4.09,ng/uL,2,100,46.24,787.14,,Red,Far Red,,110.46
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112709,RNA 46,165,ng/mL,16.5,ng/uL,2,100,46.24,787.14,,Red,Far Red,,319.49
2025-08-18_112117,RNA High Sensitivity,Sample_#250818-112716,RNA 47,143,ng/mL,14.3,ng/uL,2,100,46.24,787.14,,Red,Far Red,,283.09
