Compound,n_observations,df_group,F_group,R2_group,p_group,df_temperature,F_temperature,R2_temperature,p_temperature,df_group_temp,F_group_temp,R2_group_temp,p_group_temp,ran_permanova,note,p_group_FDR,p_temperature_FDR,p_group_temp_FDR
1-Methylhistidine,47,2,3.131622503880419,0.12247028026069406,0.015,2,1.3141044785291676,0.05139148910121826,0.252,4,0.9276022133684041,0.07305634182318464,0.508,TRUE,NA,0.01594736842105263,0.43310169491525424,0.8846206896551725
11a-Hydroxyprogesterone,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data or variance,NA,NA,NA
4-Aminobutyrate,47,2,33.56322171022691,0.5541473136351157,0.001,2,5.826358325549181,0.0961963914624703,0.002,4,1.0344078659541216,0.034045723711337975,0.413,TRUE,NA,0.0011477272727272727,0.011222222222222222,0.8137169811320755
5- Methylthioadenosine,45,2,21.939159753514886,0.48443283368296547,0.001,2,3.1510513939943947,0.0695775395695729,0.042,4,1.1268873872410148,0.049141466585838886,0.353,TRUE,NA,0.0011477272727272727,0.14627586206896553,0.7638124999999999
5-Hydroxylysine,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data or variance,NA,NA,NA
Acetyl glycine,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data or variance,NA,NA,NA
Adenine,47,2,11.945389376017408,0.3321915258163017,0.001,2,2.7387627824495238,0.0761627569359428,0.034,4,3.1917717241636385,0.1468645923705002,0.007,TRUE,NA,0.0011477272727272727,0.1320769230769231,0.06427272727272727
Adenosine,47,2,29.6315667664619,0.5438249463661051,0.001,2,3.5675514534349664,0.06547488673526687,0.008,4,0.776419008258617,0.029119114256858866,0.621,TRUE,NA,0.0011477272727272727,0.038476190476190476,0.9223676470588236
ADP,44,2,22.041531498615395,0.5247525049852145,0.001,2,0.5778891777642083,0.01375806366516155,0.677,4,1.2545541443901684,0.058215554070029166,0.294,TRUE,NA,0.0011477272727272727,0.7597444444444446,0.7242439024390244
ADP-D-Glucose,33,2,15.094568618384896,0.49298216776362175,0.001,2,1.4574413274432603,0.047599411626520996,0.225,4,3.7519323887070417,0.1759149956313735,0.019,TRUE,NA,0.0011477272727272727,0.40580357142857143,0.10099999999999999
Alanine,47,2,17.51204083086935,0.44655656339322586,0.001,2,0.7997661198448855,0.02039401423543491,0.508,4,0.4353636203051795,0.023465368570070703,0.883,TRUE,NA,0.0011477272727272727,0.6663376623376625,0.9589569892473118
AMP,47,2,28.224517722596975,0.5069850510786825,0.001,2,6.693634261892651,0.12023491566875277,0.001,4,1.7789625324432292,0.05949569830248105,0.093,TRUE,NA,0.0011477272727272727,0.008416666666666666,0.3478888888888889
Androstenedione,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Insufficient data or variance,NA,NA,NA
Arginine,47,2,21.52770853722567,0.4808849174835882,0.001,2,2.3600221716680587,0.05271806171658111,0.046,4,1.735815220826872,0.07247054873513126,0.118,TRUE,NA,0.0011477272727272727,0.14987096774193548,0.39726666666666666
Arginine-Alanine,46,2,7.340364831145844,0.253966841882431,0.001,2,1.279622872315993,0.044273246242978334,0.261,4,0.5967092131882705,0.0429818262624352,0.824,TRUE,NA,0.0011477272727272727,0.4333225806451613,0.9468749999999999
Arginine-Glutamine,47,2,14.938841217339512,0.36222170788242775,0.001,2,5.529919245438284,0.13408381308783265,0.001,4,4.282098019034945,0.15820424314304143,0.001,TRUE,NA,0.0011477272727272727,0.008416666666666666,0.02525
