"","Species","Lifestage","sample_id","Light_Value.x","Temp.Cat.x","Run","micromol.cm2.s","micromol.cm2.h"
"1","Acropora","Adult","ACR-A10","0",30,"Run3",-0.000377155897058828,-1.35776122941178
"2","Acropora","Adult","ACR-A10","550",30,"Run3",0.000807656713788137,2.90756416963729
"3","Acropora","Adult","ACR-A11","0",30,"Run4",-0.000243867727493618,-0.877923818977026
"4","Acropora","Adult","ACR-A11","550",30,"Run4",0.000172117361614316,0.619622501811536
"5","Acropora","Adult","ACR-A12","0",27,"Run6",-0.000342673302379468,-1.23362388856609
"6","Acropora","Adult","ACR-A12","550",27,"Run6",0.00056955784075057,2.05040822670205
"7","Acropora","Adult","ACR-A13","0",33,"Run5",-9.23361463032662e-05,-0.332410126691759
"8","Acropora","Adult","ACR-A13","550",33,"Run5",0.000251139676079467,0.904102833886081
"9","Acropora","Adult","ACR-A14","0",27,"Run2",-0.000267051263486997,-0.961384548553188
"10","Acropora","Adult","ACR-A14","550",27,"Run2",0.000420519240260254,1.51386926493691
"11","Acropora","Adult","ACR-A15","0",30,"Run3",-0.000221289647058829,-0.796642729411783
"12","Acropora","Adult","ACR-A15","550",30,"Run3",0.000399468072573097,1.43808506126315
"13","Acropora","Adult","ACR-A16","0",27,"Run2",-0.000237144937420569,-0.853721774714048
"14","Acropora","Adult","ACR-A16","550",27,"Run2",0.000318989011675563,1.14836044203203
"15","Acropora","Adult","ACR-A17","0",33,"Run5",-0.000348956212014729,-1.25624236325302
"16","Acropora","Adult","ACR-A17","550",33,"Run5",0.000438620805949626,1.57903490141865
"17","Acropora","Adult","ACR-A6","0",33,"Run1",-0.000277264261499337,-0.998151341397614
"18","Acropora","Adult","ACR-A6","550",33,"Run1",0.000212465888866698,0.764877199920113
"19","Acropora","Adult","ACR-A7","0",30,"Run4",-0.000265298112443445,-0.955073204796404
"20","Acropora","Adult","ACR-A7","550",30,"Run4",0.000382078145239842,1.37548132286343
"21","Acropora","Adult","ACR-A8","0",27,"Run6",-0.000212641212647035,-0.765508365529327
"22","Acropora","Adult","ACR-A8","550",27,"Run6",0.000678530266629576,2.44270895986647
"23","Acropora","Adult","ACR-A9","0",33,"Run1",-0.000221431829603665,-0.797154586573194
"24","Acropora","Adult","ACR-A9","550",33,"Run1",0.000238496420098619,0.85858711235503
"25","Acropora","Recruit","ACR-R11","0",27,"Run2",-0.000193545269724374,-0.696762971007746
"26","Acropora","Recruit","ACR-R11","550",27,"Run2",0.000472652102840258,1.70154757022493
"27","Acropora","Recruit","ACR-R12","0",33,"Run1",-0.000300672439967222,-1.082420783882
"28","Acropora","Recruit","ACR-R12","550",33,"Run1",0.000765127023154624,2.75445728335664
"29","Acropora","Recruit","ACR-R13","0",33,"Run1",-0.000685245203476101,-2.46688273251397
"30","Acropora","Recruit","ACR-R13","550",33,"Run1",0.00134543073744035,4.84355065478526
"31","Acropora","Recruit","ACR-R14","0",30,"Run3",-0.00106999179411763,-3.85197045882346
"32","Acropora","Recruit","ACR-R14","550",30,"Run3",0.00204690229975679,7.36884827912446
"33","Acropora","Recruit","ACR-R15","0",33,"Run5",-0.000884060185463616,-3.18261666766902
"34","Acropora","Recruit","ACR-R15","550",33,"Run5",0.000639691052458663,2.30288778885119
"35","Acropora","Recruit","ACR-R16","0",33,"Run1",4.64652895612988e-05,0.167275042420676
"36","Acropora","Recruit","ACR-R16","550",33,"Run1",-2.61623101786893e-05,-0.0941843166432813
"37","Acropora","Recruit","ACR-R17","0",27,"Run6",-0.00079202185664433,-2.85127868391959
"38","Acropora","Recruit","ACR-R17","550",27,"Run6",0.00180669059595632,6.50408614544275
"39","Acropora","Recruit","ACR-R18","0",30,"Run3",-0.000271338505228763,-0.976818618823545
"40","Acropora","Recruit","ACR-R18","550",30,"Run3",0.000456154436272118,1.64215597057962
"41","Acropora","Recruit","ACR-R19","0",33,"Run5",-0.000483637899749356,-1.74109643909768
"42","Acropora","Recruit","ACR-R19","550",33,"Run5",0.000568940121193827,2.04818443629778
"43","Acropora","Recruit","ACR-R22","0",30,"Run4",-0.000573897025644736,-2.06602929232105
"44","Acropora","Recruit","ACR-R22","550",30,"Run4",0.00084048828252993,3.02575781710775
"45","Acropora","Recruit","ACR-R23","0",27,"Run2",-0.000558839897669936,-2.01182363161177
"46","Acropora","Recruit","ACR-R23","550",27,"Run2",0.000212266974635141,0.764161108686507
"47","Acropora","Recruit","ACR-R24","0",27,"Run6",-0.000306649274997899,-1.10393738999244
"48","Acropora","Recruit","ACR-R24","550",27,"Run6",0.00079515879776378,2.86257167194961
"49","Acropora","Recruit","ACR-R25","0",30,"Run4",-0.00106491616253866,-3.83369818513916
"50","Acropora","Recruit","ACR-R25","550",30,"Run4",0.00115090704125165,4.14326534850594
"51","Acropora","Recruit","ACR-R26","0",30,"Run3",-0.000461605824886928,-1.66178096959294
"52","Acropora","Recruit","ACR-R26","550",30,"Run3",0.000960151368752906,3.45654492751046
"53","Acropora","Recruit","ACR-R27","0",27,"Run2",-0.000815468495354288,-2.93568658327544
"54","Acropora","Recruit","ACR-R27","550",27,"Run2",0.00171626970249551,6.17857092898382
"55","Acropora","Recruit","ACR-R28","0",30,"Run4",-0.000662780475436333,-2.3860097115708
"56","Acropora","Recruit","ACR-R28","550",30,"Run4",0.00122434226153519,4.40763214152668
"57","Acropora","Recruit","ACR-R29","0",27,"Run6",-0.000592412600041232,-2.13268536014843
"58","Acropora","Recruit","ACR-R29","550",27,"Run6",0.00144240362810847,5.19265306119048
"59","Acropora","Recruit","ACR-R30","0",33,"Run5",-0.000880346506892219,-3.16924742481199
"60","Acropora","Recruit","ACR-R30","550",33,"Run5",0.00175138342315468,6.30498032335687
"61","Pocillopora","Adult","POC-A10","0",30,"Run4",-0.000618827698301086,-2.22777971388391
"62","Pocillopora","Adult","POC-A10","0",30,"Run4",-0.000618827698301086,-2.22777971388391
"63","Pocillopora","Adult","POC-A10","0",30,"Run4",-0.000618827698301086,-2.22777971388391
"64","Pocillopora","Adult","POC-A10","0",30,"Run4",-0.000618827698301086,-2.22777971388391
"65","Pocillopora","Adult","POC-A10","550",30,"Run4",0.000952956001456476,3.43064160524331
"66","Pocillopora","Adult","POC-A10","550",30,"Run4",0.000952956001456476,3.43064160524331
"67","Pocillopora","Adult","POC-A10","550",30,"Run4",0.000952956001456476,3.43064160524331
"68","Pocillopora","Adult","POC-A10","550",30,"Run4",0.000952956001456476,3.43064160524331
"69","Pocillopora","Adult","POC-A11","0",33,"Run1",-0.000177621466108462,-0.639437277990464
"70","Pocillopora","Adult","POC-A11","550",33,"Run1",0.00032396025667535,1.16625692403126
"71","Pocillopora","Adult","POC-A13","0",27,"Run6",-0.000236514362985538,-0.851451706747936
"72","Pocillopora","Adult","POC-A13","550",27,"Run6",0.000346927030174736,1.24893730862905
"73","Pocillopora","Adult","POC-A14","0",30,"Run3",-0.000138709897058821,-0.499355629411754
"74","Pocillopora","Adult","POC-A14","550",30,"Run3",0.000284335642359654,1.02360831249476
"75","Pocillopora","Adult","POC-A15","0",27,"Run6",-0.000220112238866635,-0.792404059919887
"76","Pocillopora","Adult","POC-A15","550",27,"Run6",0.00048565572761062,1.74836061939823
"77","Pocillopora","Adult","POC-A17","0",30,"Run3",-0.000415709138817103,-1.49655289974157
"78","Pocillopora","Adult","POC-A17","550",30,"Run3",0.000522274888147213,1.88018959732997
