"","sample_id","Light_Value","micromol.L.s","grouping.id","Species","Lifestage","Run","Chamber.Vol.L","Temp.Cat"
"1","ACR-A10","0",-0.0215750000000001,"ACR-A10-0","Acropora","Adult","Run3",0.19,30
"2","ACR-A10","550",0.0408968421052584,"ACR-A10-550","Acropora","Adult","Run3",0.19,30
"3","ACR-A11","0",-0.0142596304347832,"ACR-A11-0","Acropora","Adult","Run4",0.194,30
"4","ACR-A11","550",0.00729384782608702,"ACR-A11-550","Acropora","Adult","Run4",0.194,30
"5","ACR-A12","0",-0.0207887254901957,"ACR-A12-0","Acropora","Adult","Run6",0.19,27
"6","ACR-A12","550",0.0267700556173529,"ACR-A12-550","Acropora","Adult","Run6",0.19,27
"7","ACR-A13","0",-0.00422875000000007,"ACR-A13-0","Acropora","Adult","Run5",0.193,33
"8","ACR-A13","550",0.0114266233766225,"ACR-A13-550","Acropora","Adult","Run5",0.193,33
"9","ACR-A14","0",-0.0165473443223444,"ACR-A14-0","Acropora","Adult","Run2",0.193,27
"10","ACR-A14","550",0.0186317334839062,"ACR-A14-550","Acropora","Adult","Run2",0.193,27
"11","ACR-A15","0",-0.0135860294117649,"ACR-A15-0","Acropora","Adult","Run3",0.187,30
"12","ACR-A15","550",0.0197246715927738,"ACR-A15-550","Acropora","Adult","Run3",0.187,30
"13","ACR-A16","0",-0.0150759072580635,"ACR-A16-0","Acropora","Adult","Run2",0.192,27
"14","ACR-A16","550",0.0134407410236822,"ACR-A16-550","Acropora","Adult","Run2",0.192,27
"15","ACR-A17","0",-0.0176164031620554,"ACR-A17-0","Acropora","Adult","Run5",0.192,33
"16","ACR-A17","550",0.0212507792207799,"ACR-A17-550","Acropora","Adult","Run5",0.192,33
"17","ACR-A6","0",-0.0141778186274507,"ACR-A6-0","Acropora","Adult","Run1",0.188,33
"18","ACR-A6","550",0.00967340659340669,"ACR-A6-550","Acropora","Adult","Run1",0.188,33
"19","ACR-A7","0",-0.0157707521367524,"ACR-A7-0","Acropora","Adult","Run4",0.189,30
"20","ACR-A7","550",0.0185958429339479,"ACR-A7-550","Acropora","Adult","Run4",0.189,30
"21","ACR-A8","0",-0.0138719211822663,"ACR-A8-0","Acropora","Adult","Run6",0.191,27
"22","ACR-A8","550",0.032335260869566,"ACR-A8-550","Acropora","Adult","Run6",0.191,27
"23","ACR-A9","0",-0.0110319664031623,"ACR-A9-0","Acropora","Adult","Run1",0.191,33
"24","ACR-A9","550",0.0108843233082705,"ACR-A9-550","Acropora","Adult","Run1",0.191,33
"25","ACR-R11","0",-0.00776484983314776,"ACR-R11-0","Acropora","Recruit","Run2",0.192,27
"26","ACR-R11","550",0.00913537851037836,"ACR-R11-550","Acropora","Recruit","Run2",0.192,27
"27","ACR-R12","0",-0.00767115102639265,"ACR-R12-0","Acropora","Recruit","Run1",0.182,33
"28","ACR-R12","550",0.0193383333333329,"ACR-R12-550","Acropora","Recruit","Run1",0.182,33
"29","ACR-R13","0",-0.0176543260869567,"ACR-R13-0","Acropora","Recruit","Run1",0.188,33
"30","ACR-R13","550",0.0341547619047618,"ACR-R13-550","Acropora","Recruit","Run1",0.188,33
"31","ACR-R14","0",-0.0305249999999994,"ACR-R14-0","Acropora","Recruit","Run3",0.186,30
"32","ACR-R14","550",0.0533781954887188,"ACR-R14-550","Acropora","Recruit","Run3",0.186,30
"33","ACR-R15","0",-0.0230646428571413,"ACR-R15-0","Acropora","Recruit","Run5",0.187,33
"34","ACR-R15","550",0.0154673626373625,"ACR-R15-550","Acropora","Recruit","Run5",0.187,33
"35","ACR-R16","0",0.00173234265734256,"ACR-R16-0","Acropora","Recruit","Run1",0.196,33
"36","ACR-R16","550",-0.00222892857142842,"ACR-R16-550","Acropora","Recruit","Run1",0.196,33
"37","ACR-R17","0",-0.0244985470085473,"ACR-R17-0","Acropora","Recruit","Run6",0.183,27
"38","ACR-R17","550",0.0460337985769014,"ACR-R17-550","Acropora","Recruit","Run6",0.183,27
"39","ACR-R18","0",-0.00925485470085475,"ACR-R18-0","Acropora","Recruit","Run3",0.182,30
"40","ACR-R18","550",0.0108494782608699,"ACR-R18-550","Acropora","Recruit","Run3",0.182,30
"41","ACR-R19","0",-0.0121630357142849,"ACR-R19-0","Acropora","Recruit","Run5",0.19,33
"42","ACR-R19","550",0.0133612745098032,"ACR-R19-550","Acropora","Recruit","Run5",0.19,33
"43","ACR-R22","0",-0.0170062561576353,"ACR-R22-0","Acropora","Recruit","Run4",0.188,30
"44","ACR-R22","550",0.0207248631636562,"ACR-R22-550","Acropora","Recruit","Run4",0.188,30
"45","ACR-R23","0",-0.0192867692307685,"ACR-R23-0","Acropora","Recruit","Run2",0.172,27
"46","ACR-R23","550",0.00262829670329686,"ACR-R23-550","Acropora","Recruit","Run2",0.172,27
"47","ACR-R24","0",-0.0110557591093118,"ACR-R24-0","Acropora","Recruit","Run6",0.186,27
"48","ACR-R24","550",0.0180996029495175,"ACR-R24-550","Acropora","Recruit","Run6",0.186,27
"49","ACR-R25","0",-0.0302260526315777,"ACR-R25-0","Acropora","Recruit","Run4",0.187,30
"50","ACR-R25","550",0.0291356581196576,"ACR-R25-550","Acropora","Recruit","Run4",0.187,30
"51","ACR-R26","0",-0.0141705384615397,"ACR-R26-0","Acropora","Recruit","Run3",0.186,30
"52","ACR-R26","550",0.0241644607843132,"ACR-R26-550","Acropora","Recruit","Run3",0.186,30
"53","ACR-R27","0",-0.0242129857690207,"ACR-R27-0","Acropora","Recruit","Run2",0.19,27
"54","ACR-R27","550",0.041958319327731,"ACR-R27-550","Acropora","Recruit","Run2",0.19,27
"55","ACR-R28","0",-0.0190659340659341,"ACR-R28-0","Acropora","Recruit","Run4",0.191,30
"56","ACR-R28","550",0.0304478752345218,"ACR-R28-550","Acropora","Recruit","Run4",0.191,30
"57","ACR-R29","0",-0.0185382330827056,"ACR-R29-0","Acropora","Recruit","Run6",0.188,27
"58","ACR-R29","550",0.0351210122358175,"ACR-R29-550","Acropora","Recruit","Run6",0.188,27
"59","ACR-R30","0",-0.0234673214285707,"ACR-R30-0","Acropora","Recruit","Run5",0.183,33
