colony_id,species,lifestage,prot_mg.cm2
ACR-A10,Acropora,Adult,0.18454020912387054
ACR-A11,Acropora,Adult,0.3179109260921893
ACR-A12,Acropora,Adult,0.5170871058236922
ACR-A13,Acropora,Adult,0.37658557622460975
ACR-A14,Acropora,Adult,0.37801479505158175
ACR-A15,Acropora,Adult,0.1454136477585683
ACR-A16,Acropora,Adult,0.5497728496832275
ACR-A17,Acropora,Adult,0.41428903782241433
ACR-A6,Acropora,Adult,0.45561010302533356
ACR-A7,Acropora,Adult,0.3219225672608268
ACR-A8,Acropora,Adult,0.4048381157397052
ACR-A9,Acropora,Adult,0.35926024460040584
ACR-R11,Acropora,Recruit,0.04387165736778596
ACR-R12,Acropora,Recruit,0.20637744034153066
ACR-R13,Acropora,Recruit,0.377203972910776
ACR-R14,Acropora,Recruit,0.16634958961020863
ACR-R15,Acropora,Recruit,0.1961479836418754
ACR-R16,Acropora,Recruit,0.14525988340738738
ACR-R17,Acropora,Recruit,0.29844240040256936
ACR-R18,Acropora,Recruit,0.18857623811533408
ACR-R19,Acropora,Recruit,0.2654123852244108
ACR-R22,Acropora,Recruit,0.1733881567110197
ACR-R23,Acropora,Recruit,0.26624380410000925
ACR-R24,Acropora,Recruit,0.31401711186448766
ACR-R25,Acropora,Recruit,0.4424930253729239
ACR-R26,Acropora,Recruit,0.19073382398320976
ACR-R27,Acropora,Recruit,0.2269926496760386
ACR-R28,Acropora,Recruit,0.3155177061355365
ACR-R29,Acropora,Recruit,0.4859063665959026
ACR-R30,Acropora,Recruit,0.4721774323785654
POC-A10,Pocillopora,Adult,0.6739122331678901
POC-A12,Pocillopora,Adult,0.2928264786770618
POC-A13,Pocillopora,Adult,0.33256302323155756
POC-A14,Pocillopora,Adult,0.667173635263949
POC-A15,Pocillopora,Adult,0.40706027090902636
POC-A16,Pocillopora,Adult,0.438323759475448
POC-A17,Pocillopora,Adult,0.8251014718828854
POC-A6,Pocillopora,Adult,0.23915593014333159
POC-A7,Pocillopora,Adult,0.4197722229723456
POC-A8,Pocillopora,Adult,0.7204372543786844
POC-A9,Pocillopora,Adult,0.5998105820683715
POC-R11,Pocillopora,Recruit,0.2258516731274908
POC-R12,Pocillopora,Recruit,0.24484274467537281
POC-R13,Pocillopora,Recruit,0.3209254082388387
POC-R14,Pocillopora,Recruit,0.10793642619276672
POC-R15,Pocillopora,Recruit,0.2635672590253665
POC-R16,Pocillopora,Recruit,0.065145002371779
POC-R18,Pocillopora,Recruit,0.15607966267645657
POC-R19,Pocillopora,Recruit,0.24354092800176916
POC-R20,Pocillopora,Recruit,0.2808499327320344
POC-R21,Pocillopora,Recruit,0.10024090077664044
POC-R22,Pocillopora,Recruit,0.1383568551336511
POC-R23,Pocillopora,Recruit,0.2294993852242294
POC-R24,Pocillopora,Recruit,0.21035461241059278
POC-R26,Pocillopora,Recruit,0.04173786805643297
POC-R27,Pocillopora,Recruit,0.2840005793385063
POC-R28,Pocillopora,Recruit,0.21254300684142335
POC-R29,Pocillopora,Recruit,0.2829437758885517
POC-R30,Pocillopora,Recruit,0.2571805484539087
POR-A10,Porites,Adult,0.34358553745783066
POR-A11,Porites,Adult,0.7264857891631644
POR-A12,Porites,Adult,0.36849856843434114
POR-A13,Porites,Adult,1.220973451811417
POR-A14,Porites,Adult,1.4851684688528382
POR-A15,Porites,Adult,1.3368656331379642
POR-A16,Porites,Adult,0.9381109925905484
POR-A17,Porites,Adult,1.054720450791883
POR-A6,Porites,Adult,1.2572698393233437
POR-A7,Porites,Adult,1.0422381342672007
POR-A8,Porites,Adult,1.105973000439496
POR-A9,Porites,Adult,0.8631500089347919
POR-R11,Porites,Recruit,0.10719377283620163
POR-R13,Porites,Recruit,0.1712025505668726
POR-R14,Porites,Recruit,0.6680943791486351
POR-R15,Porites,Recruit,0.4281760738478877
POR-R16,Porites,Recruit,0.6256392994319444
POR-R17,Porites,Recruit,0.28295451248528536
POR-R18,Porites,Recruit,0.3158449651742181
POR-R19,Porites,Recruit,1.0956693895423073
POR-R20,Porites,Recruit,0.8657282397700113
POR-R21,Porites,Recruit,0.3888329162226084
POR-R22,Porites,Recruit,0.9104698877140974
POR-R24,Porites,Recruit,0.937995018662064
POR-R25,Porites,Recruit,0.6303372576039921
POR-R26,Porites,Recruit,0.457693198515431
POR-R27,Porites,Recruit,1.1642423589987434
POR-R29,Porites,Recruit,0.7947142740859041
POR-R30,Porites,Recruit,0.589797944183877
